municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y,bym2_log_beta_pred,bym2_beta_pred
Badajoz,18,18,4914.254786676754,18,18,10401.7981322,2.1166582897575354,0,badajoz,1.196824670617916,0.0845882218583983,1.0369552805447189,1.48778362831767,300.0,155505.148063854,4310470.30608031,0.5190681065952554,1.680460909356413
MÃ©rida,14,14,4150.340886195773,14,14,38409.2889034,9.254490162760144,0,marida,,,,,,210319.21047598,4312875.91837714,0.6799071034626935,1.9736943743408453
Don Benito,3,3,4663.700704458815,3,3,8110.5638814,1.7390832721417455,0,don benito,1.2513780135959585,0.1216866529273419,1.0533626683316424,2.231477756115725,300.0,252050.169299434,4315925.95363666,0.4888029458232329,1.6303634180445057
Almendralejo,9,9,19458.87872222596,9,9,21513.8872336,1.105607755755567,0,almendralejo,1.215100764229584,0.0935342729439229,1.0468475097020564,1.741122245892243,300.0,203721.564491683,4287243.42546669,0.39969452345408163,1.4913690497839291
Villanueva de la Serena,17,3,7697.864914958575,3,3,17137.7734996,2.226302187545236,0,villanueva de la serena,1.265803567606359,0.1419649007433548,1.0477326652549228,2.555257425508873,300.0,257849.900671816,4317825.92358517,0.5181909322120704,1.6789874984084259
Zafra,5,5,9058.518751144427,9,9,13791.7663832,1.5225189417925076,1,zafra,1.206491287646141,0.086789146925655,1.0397174872842183,1.8370437431386972,300.0,201847.920808549,4258592.18314402,0.46290294706905316,1.5886791489659966
Montijo,4,4,13315.474135449896,4,4,26089.832051,1.9593618511518736,0,montijo,1.2630088529645729,0.1195750016794181,1.0426427221602754,2.073401151786002,300.0,186766.597483422,4313024.53822166,0.5347771778089017,1.7070678272797084
Villafranca de los Barros,1,1,9186.530554972544,2,1,9801.7286769,1.0669674060567358,0,villafranca de los barros,1.2177952598351185,0.0826077669045135,1.0483853480765282,1.6265864062968496,300.0,209247.25161592,4273648.10366513,0.3984798526376782,1.489558627079077
Olivenza,13,13,2540.5276381197345,13,13,3165.8605649,1.2461429340099917,0,olivenza,1.2350512887487677,0.0913733671554899,1.0465945693256744,1.6437719244923006,300.0,143404.630412509,4289694.979563,0.4149680319034049,1.5143223299157333
Jerez de los Caballeros,8,8,22237.440080135053,5,5,32114.5209711,1.4441644746594844,1,jerez de los caballeros,1.2486547865055615,0.0715369278859784,1.1045590378833732,1.553900704015507,300.0,170493.580131816,4248300.57577643,0.46096011608479265,1.585595610258533
Azuaga,10,10,30992.85369642065,10,10,39019.7364178,1.258991404922044,0,azuaga,1.225657280780136,0.0752537812187954,1.0443466361860712,1.7205867213151578,300.0,266049.886758429,4237928.18746664,0.4267822832149142,1.5323190138355458
Santos de Maimona. Los,9,9,10041.374625953798,9,9,13934.5366904,1.3877120622891217,0,los santos de maimona,1.215828972328714,0.0838486873245952,1.0418830649077873,1.6374745753321327,300.0,204931.777645182,4261298.41113205,0.4440574043443671,1.559019977572945
GuareÃ±a,3,3,21810.169684419063,3,3,37302.4275422,1.7103226651578245,0,guareaa,,,,,,231202.643063752,4305786.70120732,0.4877943728395439,1.6287199064874662
Fuente del Maestre,9,9,2027.5175782390493,9,9,2678.4297041,1.321038955640663,0,fuente del maestre,1.2131741065415775,0.1003071866186243,1.0468475097020564,2.0742357598578973,300.0,199582.916446467,4269969.0179768,0.431481615365335,1.5395368360308865
Castuera,15,6,1944.4444874877684,15,6,2880.4820734,1.4813907478128094,0,castuera,1.2359630214073185,0.1078882734457328,1.0543162735037992,2.082644102287463,300.0,278869.083622126,4289076.83871633,0.4670387334128047,1.5952631922081033
Calamonte,14,14,2657.79725735668,14,14,2777.7687512,1.0451394452722995,0,calamonte,1.256110069899884,0.1227562963982952,1.0745051498535674,2.2306958115294693,300.0,206421.987731058,4310024.83393333,0.4461067982829488,1.5622182998568452
Llerena,10,10,1467.0347766759348,10,10,2715.1680274,1.850786409816497,0,llerena,1.2347934533411644,0.0815263295964123,1.040678485058342,1.6198838109199216,300.0,236143.714147699,4236514.258661,0.48181984273515466,1.6190180811571693
Puebla de la Calzada,4,4,12229.782355578029,4,4,26745.1021945,2.186882923742425,0,puebla de la calzada,1.276902934977819,0.1432105844165163,1.0634338344478078,2.329091711366829,300.0,185643.111103803,4311193.18816829,0.5531318871408435,1.7386898800812565
San Vicente de AlcÃ¡ntara,39,39,10333.87112730529,39,39,14848.4705568,1.4368739820613534,0,san vicente de alcantara,,,,,,143733.891280018,4365090.26743444,0.4561063370673756,1.5779181270317701
Alburquerque,39,39,29579.85689793988,18,18,41640.5165257,1.4077321830654324,1,alburquerque,1.2739643960886569,0.0959509998469737,1.1069925945746049,1.601626317464872,300.0,154844.602490127,4349038.68188599,0.4519582368832481,1.5713863212168617
Aceuchal,9,9,15027.985760123383,9,9,19997.2444242,1.33066697981991,0,aceuchal,1.2310464796907106,0.1071429146717832,1.098858671329344,1.9219014987960097,300.0,196714.636682311,4283592.04238566,0.4218598249439177,1.5247947715095875
Oliva de la Frontera,8,8,28886.31930302103,5,5,49231.5832382,1.7043217836704865,1,oliva de la frontera,1.263538789007684,0.0784277045559889,1.1005077872056068,1.7246634623864354,300.0,157364.687715438,4243838.30574681,0.46415890669411153,1.5906757193777281
Talavera la Real,4,4,2363.1286637128314,4,4,3209.9602731,1.358351884258671,0,talavera la real,1.2982014318145487,0.4035967627711822,1.039926743263506,6.722196033239698,300.0,173129.346153978,4310011.6819908,0.4891917135600105,1.630997373963483
Cabeza del Buey,7,7,1195.377473526004,7,7,1539.6750519,1.2880241480194718,0,cabeza del buey,1.3041270415249555,0.1391081930886381,1.0887165719468772,2.305432045703641,300.0,307047.81003993,4288277.01097829,0.42413597486555465,1.528269385880762
Campanario,17,3,12384.691970797665,17,3,13191.1562309,1.0651178294949868,0,campanario,1.2857078596377178,0.1433896915699026,1.0477326652549228,2.610870336252171,300.0,273049.268621743,4304926.36582296,0.42667217030107824,1.532150295013237
Fregenal de la Sierra,8,8,2641.970081170975,8,8,3426.4818357,1.296941952567954,0,fregenal de la sierra,1.216094421906721,0.068055728772334,1.0535298566546418,1.5037694894047642,300.0,180193.808195302,4230892.23086217,0.4572218232767365,1.5796792550163488
Quintana de la Serena,6,6,1017.408236591049,6,6,2568.0310404,2.524091065946648,0,quintana de la serena,1.3609584371344612,0.186180997569374,1.0432505567456347,2.47514632720444,300.0,267899.56553466,4291626.71595212,0.5296070816918346,1.6982648981376456
