origin,beta_max,beta_min,beta_mean,beta_median,n_dest,alpha,alpha_near,municipio,misallocated,utm_x,utm_y
Pueblonuevo del Guadiana,13.26174558598482,1.0847799746048192,1.5529416810566026,1.254118582383149,42,12.225286137694436,12.225286137694436,Pueblonuevo del Guadiana,1,174503.538437169,4315036.37176893
"Garganta, La",10.159751902383812,1.3003651975258141,1.9103790824993279,1.5001877690913599,42,7.8129989342337245,5.288520754278616,,0,,
Gargantilla,6.590427294725449,1.1245863876371585,1.5244284593233215,1.2372508248121243,42,5.86031217092396,5.47620130662109,Gargantilla,0,251849.540345749,4459621.86103201
Valdelacalzada,5.960786339501885,1.1327635946684753,1.389102733884,1.2447842788731918,42,5.262162703283576,4.9270322490106055,Valdelacalzada,1,179119.796748155,4311121.52191737
Aldeanueva del Camino,5.79563375269212,1.1076802708122646,1.4288049521501966,1.2124886650252316,42,5.232226216724224,5.2044088554001755,Aldeanueva del Camino,0,251049.574443973,4460821.82356145
Ribera del Fresno,5.891345726997479,1.1375961518672009,1.360755187746593,1.2384919743990812,41,5.17876727811331,5.162688039874012,Ribera del Fresno,0,218028.792754119,4272121.48311273
Cabezuela del Valle,5.284487797836336,1.0856399868063142,1.5118498833405947,1.272668028271294,42,4.867624499887849,4.867624499887849,Cabezuela del Valle,0,261149.142383295,4453072.09936392
Navaconcejo,5.124145813474499,1.0805744533700896,1.476035426768317,1.2675092557337944,42,4.74205715070659,4.74205715070659,Navaconcejo,0,259199.241670568,4451422.13539617
Segura de Toro,5.326549459808714,1.123377785932132,1.4526022355124906,1.2351193966708574,42,4.7415477914128115,4.40811978589195,Segura de Toro,0,249249.670936418,4456921.92434571
Rebollar,5.026846965392971,1.1442051045168002,1.4698486855491775,1.2837715313616183,42,4.393309333745559,3.934816014579968,Rebollar,0,253149.527451634,4448972.17989047
Jerte,4.721746610317358,1.0798973634489566,1.5228230856236333,1.2838084072874496,42,4.372403128420584,2.5170523885184073,Jerte,0,266048.90823569,4456122.04073275
Tornavacas,4.533164044583812,1.078964012756264,1.4984938589937409,1.2938494866376995,42,4.201404301709408,2.9492048364915893,Tornavacas,0,271448.6462693,4459671.97317383
Casas del Monte,4.709272237359607,1.1240035827317052,1.4292881672998574,1.2362587258058095,42,4.189730628717836,3.858031253385065,Casas del Monte,0,248049.732461159,4454571.98283667
Aldeanueva de la Vera,4.719337376064002,1.1657900164443247,1.3964037091403643,1.2228722524225601,42,4.048188189548958,3.848155146115869,Aldeanueva de la Vera,0,269948.779297598,4445422.3709028
Garganta la Olla,4.083836970182249,1.118083364299645,1.4070967865358552,1.2193823221625768,42,3.6525335235090624,3.607462572553071,Garganta la Olla,0,263549.079374413,4443922.38105509
Jarandilla de la Vera,4.30707029687838,1.1906728559085915,1.4067595734128007,1.245302686518361,42,3.617341468317672,3.3670204338805605,Jarandilla de la Vera,0,273548.619114794,4445422.39709535
Cuacos de Yuste,4.09866617562636,1.142515486464732,1.3786021658033436,1.2164472635539865,42,3.58740535614865,3.472079935842676,Cuacos de Yuste,0,267948.885869374,4443172.42589066
"Granja, La",3.972820149277933,1.1152904389133418,1.3607199981052218,1.2076646016744625,42,3.562139520490072,3.446713537658531,,0,,
"Torno, El",4.004817939918976,1.140390809310287,1.4268980536571148,1.2681359880658079,42,3.5117942965018334,3.0824043149232745,,0,,
Valdastillas,3.981379652024392,1.1354059491193906,1.4208498229551938,1.2875618202704895,42,3.506569306874171,3.3857429026751125,Valdastillas,0,254949.46037632,4446622.25067897
Piornal,3.797828495027457,1.1763830528036816,1.4339662601921273,1.2898433717604434,42,3.228394429838195,2.771401186941864,Piornal,0,257449.351939874,4444772.32501792
Losar de la Vera,3.6840063534955987,1.1888577593980676,1.3982976425615574,1.2568029746527563,42,3.0987780702721355,2.8371986887270912,Losar de la Vera,0,278048.414754491,4444672.44216845
Jarilla,3.475126847694041,1.1313773756180625,1.3931861202281546,1.2467871784230506,42,3.0715894825063184,3.032403547190945,Jarilla,0,244473.960892906,4451279.70047355
Cabrero,3.4222508023265115,1.1408768313763933,1.404735682123238,1.2954542832173925,42,2.999667192993822,2.8405385757203736,Cabrero,0,253569.528284717,4444472.30462672
Zarza de Granadilla,3.2719730989955456,1.0965672936883097,1.3520405144393872,1.2280851540102606,42,2.983832472323926,2.983832472323926,Zarza de Granadilla,0,240816.722783534,4458693.78372199
Robledillo de la Vera,3.399516800703232,1.1770081536665389,1.3688661878471193,1.257676613810816,42,2.8882695418152196,2.7114809506486774,Robledillo de la Vera,0,279548.356694927,4442272.51780527
