municipio,planta_asignada,euclidean_distance
Badajoz,18,4914.254786676754
Mérida,14,4150.340886195773
Don Benito,3,4663.700704458815
Almendralejo,9,19458.87872222596
Villanueva de la Serena,17,7697.864914958575
Zafra,5,9058.518751144427
Montijo,4,13315.474135449896
Villafranca de los Barros,1,9186.530554972544
Olivenza,13,2540.5276381197345
Jerez de los Caballeros,8,22237.440080135053
Azuaga,10,30992.85369642065
Santos de Maimona. Los,9,10041.374625953798
Guareña,3,21810.169684419063
Fuente del Maestre,9,2027.5175782390493
Castuera,15,1944.4444874877684
Calamonte,14,2657.79725735668
Llerena,10,1467.0347766759348
Puebla de la Calzada,4,12229.782355578029
San Vicente de Alcántara,39,10333.87112730529
Alburquerque,39,29579.856897939877
Aceuchal,9,15027.985760123383
Oliva de la Frontera,8,28886.31930302103
Talavera la Real,4,2363.1286637128314
Cabeza del Buey,7,1195.377473526004
Campanario,17,12384.691970797665
Fregenal de la Sierra,8,2641.970081170975
Quintana de la Serena,6,1017.408236591049
Fuente de Cantos,5,19184.962317431386
Navalvillar de Pela,45,26419.994735854943
Monesterio,10,26385.42987974599
Santa Amalia,38,16050.78490786989
Santa Marta,9,18013.026626755032
Arroyo de San Serván,14,8458.290533810423
Valverde de Leganés,13,8198.57055791227
Zalamea de la Serena,6,9841.280878619746
Hornachos,12,13757.275895333278
Barcarrota,13,27347.297891374303
Herrera del Duque,11,21654.01401204045
Villanueva del Fresno,13,35572.959912619546
Talarrubias,11,14453.49806538981
Zarza. La,14,18494.37782642704
Ribera del Fresno,2,507.8512614538078
Burguillos del Cerro,5,10239.075328993084
Orellana la Vieja,17,17349.880188732423
Zah¡nos,8,34622.18520358762
Puebla de Sancho P‚rez,5,7955.418909884289
Solana de los Barros,9,24372.08128640913
Valdelacalzada,4,5783.654776027909
Lobón,4,13693.286858202278
Monterrubio de la Serena,16,3545.115595877848
Fuentes de León,8,12476.085121910028
Garrovilla. La,14,7696.807884513601
Berlanga,10,18397.78328712889
