municipio,planta_asignada,real_distance
Badajoz,18,10401.7981322
Mérida,14,38409.2889034
Don Benito,3,8110.5638814
Almendralejo,9,21513.8872336
Villanueva de la Serena,3,17137.7734996
Zafra,9,13791.7663832
Montijo,4,26089.832051
Villafranca de los Barros,2,9801.7286769
Olivenza,13,3165.8605649
Jerez de los Caballeros,5,32114.5209711
Azuaga,10,39019.7364178
Santos de Maimona. Los,9,13934.5366904
Guareña,3,37302.4275422
Fuente del Maestre,9,2678.4297041
Castuera,15,2880.4820734
Calamonte,14,2777.7687512
Llerena,10,2715.1680274
Puebla de la Calzada,4,26745.1021945
San Vicente de Alcántara,39,14848.4705568
Alburquerque,18,41640.5165257
Aceuchal,9,19997.2444242
Oliva de la Frontera,5,49231.5832382
Talavera la Real,4,3209.9602731
Cabeza del Buey,7,1539.6750519
Campanario,17,13191.1562309
Fregenal de la Sierra,8,3426.4818357
Quintana de la Serena,6,2568.0310404
Fuente de Cantos,10,27807.3720877
Navalvillar de Pela,45,33527.8778526
Monesterio,10,34135.9940873
Santa Amalia,3,21165.5675507
Santa Marta,9,32747.0820169
Arroyo de San Serván,14,10352.9811075
Valverde de Leganés,13,10714.8409813
Zalamea de la Serena,15,16478.1597548
Hornachos,2,16645.636288
Barcarrota,13,31781.1182354
Herrera del Duque,11,41867.2312026
Villanueva del Fresno,13,42261.2183378
Talarrubias,11,16771.9594239
Zarza. La,14,30386.0119334
Ribera del Fresno,2,599.1625206
Burguillos del Cerro,5,12557.4356728
Orellana la Vieja,17,25732.9822141
Zah¡nos,13,48823.1252513
Puebla de Sancho P‚rez,5,16650.8461613
Solana de los Barros,14,27640.8112099
Valdelacalzada,18,25482.5956073
Lobón,4,18797.0608856
Monterrubio de la Serena,16,6048.9566014
Fuentes de León,8,17385.6661278
Garrovilla. La,14,17954.9690776
Berlanga,10,28292.7523103
Higuera la Real,5,60809.5740084
Villar del Rey,18,27718.4357519
Granja de Torrehermosa,16,44021.0463071
Medell¡n,3,17051.076752
Bienvenida,2,33064.2365839
Codosera. La,39,35394.5134733
Valencia del Ventoso,5,17505.7821345
Coronada. La,17,5438.5785014
Torremej¡a,14,16068.2475932
Siruela,11,3687.4448453
Higuera de Vargas,13,34603.2753077
Segura de León,8,11361.0517047
Salvaleón,13,39703.631184
Pueblonuevo del Guadiana,18,17642.6767016
Alange,14,24966.8330052
Puebla de Obando,18,43667.0884925
Albuera. La,4,22465.3687338
Usagre,2,24923.2796511
Fuenlabrada de los Montes,11,33618.0158553
Alconchel,13,22273.9776364
Oliva de Mérida,1,32404.4389955
Salvatierra de los Barros,9,26764.557837
Villalba de los Barros,9,14889.6061003
Casas de Don Pedro,11,33489.3263813
