Municipality,Plant,NetworkDistance,EuclideanDistance,Ratio
Aldeanueva del Camino,Abertura,136957.7337,113675.0475165017,1.204817914680163
Aldeanueva del Camino,Acebo,79124.72707,67870.46571060881,1.1658197161542687
Aldeanueva del Camino,Acedera,168167.1759,134964.3284403477,1.246012022905204
Aldeanueva del Camino,Aceituna,39837.12563,36931.19708250964,1.0786849270279026
Aldeanueva del Camino,Aceuchal,207773.5414,185894.10904677276,1.1176983631456667
Aldeanueva del Camino,Ahigal,25336.21172,23780.98603320176,1.0653978638491657
Aldeanueva del Camino,Ahillones,259861.1749,222630.14580268512,1.167232649303084
Aldeanueva del Camino,Alange,191542.9613,166559.25663508364,1.1499988963066363
Aldeanueva del Camino,Alburquerque,163977.1305,148058.91599628393,1.1075127046324964
Aldeanueva del Camino,Alconchel,240040.8624,217891.59903228728,1.1016526725494848
Aldeanueva del Camino,Alconera,239150.8498,212625.14437738343,1.1247533799461493
Aldeanueva del Camino,Aldea del Cano,128450.233,113492.4892522254,1.1317950099282126
Aldeanueva del Camino,Aldeacentenera,115182.6406,85595.02594098782,1.345669790197983
Aldeanueva del Camino,Aldeanueva de la Vera,54556.79604,24354.11999402356,2.2401464743291117
Aldeanueva del Camino,Aldehuela de Jerte,41530.61458,38765.20133944681,1.0713375177994795
Aldeanueva del Camino,Aliseda,125342.8509,114263.53566417756,1.0969628252042256
Aldeanueva del Camino,Almaraz,75295.18963,54197.88577870133,1.3892643328826948
Aldeanueva del Camino,Almendral,221377.466,198919.47769613692,1.112899895796877
Aldeanueva del Camino,Almendralejo,200308.5207,180429.42052634136,1.1101766004439195
Aldeanueva del Camino,Al¡a,145068.8273,108982.66768988536,1.331118336291779
Aldeanueva del Camino,Arroyo de la Luz,111446.2269,103305.421223386,1.078803276538706
Aldeanueva del Camino,Arroyomolinos,148011.3176,121535.1212405994,1.2178481091649753
Aldeanueva del Camino,Arroyomolinos de la Vera,40712.86693,24083.734139115026,1.6904715313177767
Aldeanueva del Camino,Atalaya,243897.6413,219625.79539495727,1.1105145498113926
Aldeanueva del Camino,Azuaga,255089.7185,223798.22180253465,1.1398201310333689
