origin_id;destination_id;distance_m
Ribera del Fresno;Badajoz;72599,96640696333
Ribera del Fresno;Mérida;39481,21089810839
Ribera del Fresno;Don Benito;53568,307493998196
Ribera del Fresno;Almendralejo;19625,327076059217
Ribera del Fresno;Villanueva de la Serena;58782,541666844576
Ribera del Fresno;Zafra;22784,37732871674
Ribera del Fresno;Montijo;50063,54355331447
Ribera del Fresno;Villafranca de los Barros;9186,530554972545
Ribera del Fresno;Olivenza;76587,3509916132
Ribera del Fresno;Jerez de los Caballeros;54488,51219428955
Ribera del Fresno;Azuaga;59892,918593194314
Ribera del Fresno;Santos de Maimona, Los;18684,784248423777
Ribera del Fresno;Guareña;34045,76926604915
Ribera del Fresno;Fuente del Maestre;19309,02585751363
Ribera del Fresno;Castuera;62249,52607419858
Ribera del Fresno;Calamonte;37747,07196292992
Ribera del Fresno;Llerena;41678,03385174408
Ribera del Fresno;Puebla de la Calzada;49396,44218214856
Ribera del Fresno;San Vicente de Alcántara;117610,38396378748
Ribera del Fresno;Alburquerque;98168,2049383379
Ribera del Fresno;Aceuchal;23632,37302396194
Ribera del Fresno;Oliva de la Frontera;68198,47224173207
Ribera del Fresno;Talavera la Real;57713,645941460025
Ribera del Fresno;Cabeza del Buey;89738,35542279581
Ribera del Fresno;Campanario;62665,248296133635
Ribera del Fresno;Fregenal de la Sierra;57787,0951042441
Ribera del Fresno;Quintana de la Serena;52452,168962615186
Ribera del Fresno;Fuente de Cantos;36411,521065227935
Ribera del Fresno;Navalvillar de Pela;88076,15342282312
Ribera del Fresno;Monesterio;53723,33036165182
Ribera del Fresno;Santa Amalia;52656,55395118995
Ribera del Fresno;Santa Marta;34545,57148542267
Ribera del Fresno;Arroyo de San Serván;36977,87553878215
Ribera del Fresno;Valverde de Leganés;65975,38722152526
Ribera del Fresno;Zalamea de la Serena;50810,63726289997
Ribera del Fresno;Hornachos;14600,648128091432
Ribera del Fresno;Barcarrota;54001,911400975434
Ribera del Fresno;Herrera del Duque;122285,28013180367
Ribera del Fresno;Villanueva del Fresno;84335,60970900887
Ribera del Fresno;Talarrubias;101204,26286028691
Ribera del Fresno;Zarza, La;27433,743450668862
Ribera del Fresno;Ribera del Fresno;2147,23286553074
Ribera del Fresno;Burguillos del Cerro;37699,50010043144
Ribera del Fresno;Orellana la Vieja;77342,85862765212
Ribera del Fresno;Zah¡nos;68286,67899377036
Ribera del Fresno;Puebla de Sancho P‚rez;24271,56091848397
Ribera del Fresno;Solana de los Barros;31533,00044472716
Ribera del Fresno;Valdelacalzada;53896,50952497022
Ribera del Fresno;Lobón;45832,1125954287
Ribera del Fresno;Monterrubio de la Serena;68733,98516002353
Ribera del Fresno;Fuentes de León;61927,89353714811
Ribera del Fresno;Garrovilla, La;44145,83549976482
Ribera del Fresno;Berlanga;47623,99532936469
Ribera del Fresno;Higuera la Real;62258,22191926032
Ribera del Fresno;Villar del Rey;82016,39763650476
Ribera del Fresno;Granja de Torrehermosa;62622,88308367514
Ribera del Fresno;Medell¡n;49746,17894822478
Ribera del Fresno;Bienvenida;30237,53870202344
Ribera del Fresno;Codosera, La;107944,63057363851
Ribera del Fresno;Valencia del Ventoso;39794,57595132816
Ribera del Fresno;Coronada, La;62404,49956064394
Ribera del Fresno;Torremej¡a;27378,94735093992
Ribera del Fresno;Siruela;112336,32944526564
Ribera del Fresno;Higuera de Vargas;66113,21003008318
Ribera del Fresno;Segura de León;56319,262096538885
Ribera del Fresno;Salvaleón;48791,05082560285
Ribera del Fresno;Pueblonuevo del Guadiana;59942,346421177266
Ribera del Fresno;Alange;23857,97060414334
Ribera del Fresno;Puebla de Obando;75631,62949680946
Ribera del Fresno;Albuera, La;53874,662960006535
Ribera del Fresno;Usagre;24491,299799037628
Ribera del Fresno;Fuenlabrada de los Montes;129011,8619918119
Ribera del Fresno;Alconchel;73294,11261070533
Ribera del Fresno;Oliva de Mérida;26178,840596942922
Ribera del Fresno;Salvatierra de los Barros;40380,494382714205
Ribera del Fresno;Villalba de los Barros;24449,105167725807
Ribera del Fresno;Casas de Don Pedro;98322,78066233628
Ribera del Fresno;Esparragalejo;45069,34426691339
Ribera del Fresno;Montemolín;46273,00748422898
Ribera del Fresno;Roca de la Sierra, La;71629,26528889287
Ribera del Fresno;Campillo de Llerena;35882,65001414851
Ribera del Fresno;Cabeza la Vaca;56284,94127214239
Ribera del Fresno;Villar de Rena;67079,75917531841
Ribera del Fresno;Trujillanos;42277,13950398093
Ribera del Fresno;Valle de la Serena;40560,60244621015
Ribera del Fresno;Parra, La;34430,91565396575
Ribera del Fresno;Mirandilla;48132,27499524433
Ribera del Fresno;Haba, La;53924,883119317805
Ribera del Fresno;Villagonzalo;32598,317075612304
Ribera del Fresno;Feria;29531,81663890254
Ribera del Fresno;Medina de las Torres;29741,881098045928
Ribera del Fresno;Valdetorres;40892,98935650569
Ribera del Fresno;Almendral;51445,9972005891
Ribera del Fresno;Corte de Peleas;41652,25393827017
Ribera del Fresno;Cheles;91593,95545312553
Ribera del Fresno;Puebla de Alcocer;96669,1822445247
Ribera del Fresno;Torre de Miguel Sesmero;49297,79255010334
Ribera del Fresno;Valdecaballeros;117328,91386606853
Ribera del Fresno;Peñalsordo;101167,30122735398
Ribera del Fresno;Valle de Santa Ana;53532,06368035277
Ribera del Fresno;Valverde de Mérida;37876,27220379543
Ribera del Fresno;Castilblanco;127020,67481190815
Ribera del Fresno;Bodonal de la Sierra;54958,90389940823
Ribera del Fresno;Nava de Santiago, La;59499,394670399226
Ribera del Fresno;Esparragosa de la Serena;55371,326253161926
Ribera del Fresno;Maguilla;41383,09212134402
Ribera del Fresno;Calera de León;52358,9413417678
Ribera del Fresno;Ahillones;47200,235498972004
Ribera del Fresno;Higuera de la Serena;43682,130594587754
Ribera del Fresno;Esparragosa de Lares;95014,18108561878
Ribera del Fresno;Torremayor;45118,53086395768
Ribera del Fresno;Villagarcía de la Torre;33645,21499306424
Ribera del Fresno;Cordobilla de Lácara;66486,92012286933
Ribera del Fresno;Benquerencia de la Serena;65860,79337287492
Ribera del Fresno;Llera;20682,643833618524
Ribera del Fresno;San Pedro de Mérida;42220,0591655668
Ribera del Fresno;Calzadilla de los Barros;30814,783130917713
Ribera del Fresno;Puebla de la Reina;15412,231623804697
Ribera del Fresno;Acedera;78861,07225970535
Ribera del Fresno;Táliga;68305,54320387299
Ribera del Fresno;Valencia del Mombuey;85590,21791561335
Ribera del Fresno;Puebla del Maestre;55620,157573277196
Ribera del Fresno;Manchita;32806,03944833251
Ribera del Fresno;Morera, La;36697,59576678767
Ribera del Fresno;Fuente del Arco;55153,517963739396
Ribera del Fresno;Don Álvaro;31004,989712652303
Ribera del Fresno;Alconera;28576,298296907033
Ribera del Fresno;Nogales;44883,17229391457
Ribera del Fresno;Helechosa de los Montes;141336,32003264248
Ribera del Fresno;Valverde de Llerena;53561,68599981152
Ribera del Fresno;Palomas;15980,496897467514
Ribera del Fresno;Trasierra;47062,738493749624
Ribera del Fresno;Valencia de las Torres;27341,49695422238
Ribera del Fresno;Garlitos;108713,22846327131
Ribera del Fresno;Rena;65139,92816198373
Ribera del Fresno;Malpartida de la Serena;52957,210931905945
Ribera del Fresno;Peraleda del Zaucejo;59300,50305328746
Ribera del Fresno;Magacela;56531,578776745395
Ribera del Fresno;Entrín Bajo;44905,85384491943
Ribera del Fresno;Villarta de los Montes;144042,2165274537
Ribera del Fresno;Carmonita;65485,69036351213
Ribera del Fresno;Cristina;31803,518791238566
Ribera del Fresno;Hinojosa del Valle;10639,130840448324
Ribera del Fresno;Garbayuela;119785,52894693575
Ribera del Fresno;Puebla del Prior;3143,0868105710997
Ribera del Fresno;Retamal de Llerena;34437,61996316925
Ribera del Fresno;Mengabril;48172,816111361026
Ribera del Fresno;Malcocinado;68664,11829470351
Ribera del Fresno;Valle de Matamoros;54080,26121849254
Ribera del Fresno;Zarza-Capilla;97347,3387600414
Ribera del Fresno;Higuera de Llerena;29858,648939379633
Ribera del Fresno;Baterno;122707,3407727487
Ribera del Fresno;Atalaya;33740,7082868301
Ribera del Fresno;Valverde de Burguillos;37832,62020674361
Ribera del Fresno;Orellana de la Sierra;81852,26455134683
Ribera del Fresno;Lapa, La;28171,49663652241
Ribera del Fresno;Tamurejo;121146,32838549087
Ribera del Fresno;Aljucén;53285,08105623585
Ribera del Fresno;Sancti-Spíritus;102404,88841291897
Ribera del Fresno;Reina;49551,70917312756
Ribera del Fresno;Casas de Reina;46983,651580643775
Ribera del Fresno;Capilla;103785,40014616205
Ribera del Fresno;Risco;103774,23957145053
Ribera del Fresno;Carrascalejo, El;51000,47620262978
Ribera del Fresno;C ceres;101183,12234417303
Ribera del Fresno;Plasencia;162425,68319125343
Ribera del Fresno;Navalmoral de la Mata;158347,15466717313
Ribera del Fresno;Coria;159053,70556483458
Ribera del Fresno;Miajadas;70409,40682275969
Ribera del Fresno;Trujillo;103256,87396295846
Ribera del Fresno;Talayuela;165254,88663062148
Ribera del Fresno;Moraleja;170211,17981016493
Ribera del Fresno;Arroyo de la Luz;105873,98603060178
Ribera del Fresno;Jara¡z de la Vera;170408,19460194765
Ribera del Fresno;Valencia de Alc ntara;128037,22865144142
Ribera del Fresno;Montehermoso;168789,66494820564
Ribera del Fresno;Casar de Cáceres;111011,48403848459
Ribera del Fresno;Malpartida de Plasencia;157336,0433518826
Ribera del Fresno;Malpartida de Cáceres;100102,87713871161
Ribera del Fresno;Hervás;191788,91342145865
Ribera del Fresno;Torrejoncillo;148786,5919838765
Ribera del Fresno;Jarandilla de la Vera;179847,94074643552
