Plant,MaxRatio,MinRatio,AnisotropyCoefficient,NumMunicipalities,MeanRatio,StdRatio
Abertura,1.3259635901154974,1.0736603686163404,1.2349935127290839,29,1.1744646794375186,0.05723552451387284
Acebo,1.2465817873916616,1.0396092053029944,1.19908690788126,32,1.171827019044925,0.04675854378961401
Acedera,1.3282694135874749,1.052294388458756,1.2622602839619113,33,1.211510144662909,0.06499525196149095
Aceituna,1.3265386857880368,1.0372697990415007,1.2788752617822652,32,1.1750016145955071,0.06541109768422745
Aceuchal,1.2495777711648255,1.0390718871820384,1.2025902986882637,32,1.1381892155211704,0.04810137967266788
Ahigal,1.4909986368541974,1.0653978638491657,1.399475902333221,32,1.1967756707183403,0.09337962893226791
Ahillones,1.2416505142327068,1.072316352821562,1.1579143701068995,32,1.1445819761951042,0.037363478325994584
Alange,1.6101389853053407,1.095622863086308,1.469610611054309,32,1.1789973034860284,0.0985271143008265
Alburquerque,1.3404558624171024,1.037129845910251,1.2924667703884591,33,1.1644236680953541,0.062083656912243705
Alconchel,1.2307672183882046,1.028753036502168,1.1963680054572658,32,1.1381779597722523,0.0392586347715014
Alconera,1.940321651584148,1.0473200631970037,1.852653949606586,33,1.1787502281294349,0.16027136523918087
Aldea del Cano,1.2954280982575497,1.0415224987210951,1.2437831154374772,33,1.1614469578289843,0.05981538759510323
Aldeacentenera,1.3876067779368328,1.0527227679122122,1.3181122516128074,33,1.2006043058374647,0.08358336690278681
Aldeanueva de la Vera,2.981525433298147,1.0993863539461812,2.7119905778311155,32,1.2891312396917867,0.3730923870385633
Aldehuela de Jerte,1.6738381900365171,1.0713375177994795,1.5623817538608844,33,1.1927990138748248,0.1072047545859124
Aliseda,1.383948116703042,1.0448928267249329,1.324488101847564,33,1.1837715332902077,0.07011602075431488
Almaraz,1.3892643328826948,1.0797635957795473,1.286637499460889,29,1.1808810589842125,0.07550213128379055
Almendral,1.218345852769925,1.0100625629343625,1.2062083057810524,32,1.1363430167050588,0.045434513870987236
Almendralejo,1.2242706982429497,1.0181052408655833,1.2024991612871834,32,1.131481698825204,0.044223050394520146
Al¡a,1.4062130161875237,1.078159710483293,1.3042715309378223,33,1.1945732297199272,0.07306676398441425
Arroyo de la Luz,1.3420343683002784,1.0421387392733463,1.2877693897417544,33,1.1780429868516,0.0708368604458708
Arroyomolinos,1.3577203770680586,1.0105386879569225,1.3435610068656134,33,1.1781113293982095,0.06388687118871918
Arroyomolinos de la Vera,1.7812440637808744,1.0413167261920528,1.710568954649015,33,1.2476595573036455,0.1495702711157171
Atalaya,1.262546244330776,1.035293766006528,1.219505309300602,32,1.141113262233767,0.04312827580480151
Azuaga,1.1698776228252554,1.0035119955279213,1.165783396749347,33,1.1149753241891336,0.03841584467028566
Badajoz,1.2280686410368362,1.0064960652867614,1.220142515596369,32,1.1252168106342832,0.0515424997071358
Barcarrota,1.2731444330968194,1.0107810307381202,1.2595650238579457,33,1.1425553783647748,0.05300427952245344
