InputID,TargetID,Distance
Badajoz,Mérida,54820.7003066919
Badajoz,Don Benito,96632.3503116273
Badajoz,Almendralejo,53472.9164888982
Badajoz,Villanueva de la Serena,102540.00670058
Badajoz,Zafra,69502.1294709972
Badajoz,Montijo,31336.3865735681
Badajoz,Villafranca de los Barros,65091.6335847311
Badajoz,Olivenza,24015.6492391318
Badajoz,Jerez de los Caballeros,63887.1571095588
Badajoz,Azuaga,132136.46660006
Badajoz,"Santos de Maimona, Los",69659.8719216204
Badajoz,Guareña,75784.3561994596
Badajoz,Fuente del Maestre,59807.0824967132
Badajoz,Castuera,125130.041787226
Badajoz,Calamonte,50875.228350109
Badajoz,Llerena,109335.390869842
Badajoz,Puebla de la Calzada,30118.3957890031
Badajoz,San Vicente de Alcántara,55811.9203495513
Badajoz,Alburquerque,38533.0169323566
Badajoz,Aceuchal,49156.2992084473
Badajoz,Oliva de la Frontera,66587.7665004131
Badajoz,Talavera la Real,17612.7604986585
Badajoz,Cabeza del Buey,153080.632137435
Badajoz,Campanario,117601.928773882
Badajoz,Fregenal de la Sierra,83239.9959966988
Badajoz,Quintana de la Serena,113890.594317707
Badajoz,Fuente de Cantos,90407.6709325477
Badajoz,Navalvillar de Pela,132502.39266867
Badajoz,Monesterio,106584.341634881
Badajoz,Santa Amalia,84804.9811042391
Badajoz,Santa Marta,41688.6276731515
Badajoz,Arroyo de San Serván,45005.1652915771
Badajoz,Valverde de Leganés,22600.2963463657
Badajoz,Zalamea de la Serena,116762.168579963
Badajoz,Hornachos,86311.6609816472
Badajoz,Barcarrota,41482.5988560349
Badajoz,Herrera del Duque,169633.153941951
Badajoz,Villanueva del Fresno,57978.7885849077
Badajoz,Talarrubias,151798.00768831
Badajoz,"Zarza, La",65998.1509762564
Badajoz,Ribera del Fresno,73287.8419287849
Badajoz,Burguillos del Cerro,64074.0488187264
Badajoz,Orellana la Vieja,125265.14420849
Badajoz,Zah¡nos,60373.6460649634
Badajoz,Puebla de Sancho Pérez,72894.2748130183
Badajoz,Solana de los Barros,41257.9376574773
Badajoz,Valdelacalzada,23600.8813861763
Badajoz,Lobón,30562.5640174159
Badajoz,Monterrubio de la Serena,136516.409374899
Badajoz,Fuentes de León,97200.7260956001
Badajoz,"Garrovilla, La",43114.0470695327
Badajoz,Berlanga,119272.705646791
Badajoz,Higuera la Real,85154.8124176423
Badajoz,Villar del Rey,30535.2187153295
Badajoz,Granja de Torrehermosa,135136.714631561
Badajoz,Medell¡n,88617.0055636893
Badajoz,Bienvenida,92145.9975807631
Badajoz,"Codosera, La",40786.9568726971
Badajoz,Valencia del Ventoso,80258.47144395
Badajoz,"Coronada, La",113025.85653731
Badajoz,Torremej¡a,52421.6599562
Badajoz,Siruela,167068.140655349
Badajoz,Higuera de Vargas,47607.9867731478
Badajoz,Segura de León,92118.6227867532
Badajoz,Salvaleón,43460.4787014086
Badajoz,Pueblonuevo del Guadiana,19520.2120829201
