InputID,TargetID,Distance
Badajoz,Ribera del Fresno,72541.138205458
Badajoz,Ribera del Fresno,73512.2564500037
Badajoz,Don Benito,96743.8477212994
Badajoz,Talavera la Real,18043.368234543
Badajoz,Atalaya,71659.5840203036
Badajoz,Quintana de la Serena,114903.424833028
Badajoz,Cabeza del Buey,153524.989445351
Badajoz,Fregenal de la Sierra,85197.3347403857
Badajoz,Fuente del Maestre,59632.725105201
Badajoz,Llerena,109352.86354959
Badajoz,Siruela,163815.720151306
Badajoz,Puebla del Prior,73364.1105905405
Badajoz,Olivenza,22618.3699181366
Badajoz,Mérida,50673.1171282838
Badajoz,Castuera,123192.144129572
Badajoz,Monterrubio de la Serena,139129.940551346
Badajoz,Villanueva de la Serena,108888.123837646
Badajoz,Badajoz,4909.10138059537
Badajoz,Trujillo,114634.695346959
Badajoz,Moraleja,133101.576243437
Badajoz,Nuñomoral,180867.459226021
Badajoz,Cabezuela del Valle,180299.584928105
Badajoz,Aldeanueva del Camino,178586.542236994
Badajoz,Ceclavín,108497.602380184
Badajoz,Montehermoso,142141.190022511
Badajoz,Jaraíz de la Vera,165352.016074811
Badajoz,Navalmoral de la Mata,167842.441911292
Badajoz,Jarandilla de la Vera,178971.363957939
Badajoz,Plasencia,145319.166652844
Badajoz,Cañaveral,114171.543032977
Badajoz,Cadalso,159322.986184216
Badajoz,Coria,123515.296487191
Badajoz,Serradilla,128072.29320956
Badajoz,Millanes,163726.852365963
Badajoz,Casatejada,158632.001603433
Badajoz,Escurial,98507.2855791135
Badajoz,Almaraz,151897.021504112
Badajoz,Miajadas,95726.2915355098
Badajoz,Valencia de Alcántara,64169.4631478515
Badajoz,Trujillo,118086.362019116
Badajoz,Montánchez,79674.7602176883
Badajoz,Castañar de Ibor,157035.392458004
Badajoz,Miajadas,95729.583376925
Badajoz,Brozas,82171.6370675023
Badajoz,Logrosán,138616.009780539
Badajoz,Cáceres,85442.2674410078
Mérida,Ribera del Fresno,39457.3444674933
Mérida,Ribera del Fresno,41267.12368519
Mérida,Don Benito,42003.2624492089
Mérida,Talavera la Real,36826.3825885648
Mérida,Atalaya,62963.4260029842
Mérida,Quintana de la Serena,62361.6513111232
Mérida,Cabeza del Buey,100104.513121936
Mérida,Fregenal de la Sierra,87768.0329801681
Mérida,Fuente del Maestre,45885.3700586348
Mérida,Llerena,81289.3897045576
Mérida,Siruela,108998.275315976
Mérida,Puebla del Prior,39855.446759934
Mérida,Olivenza,68286.5572617566
Mérida,Mérida,4147.6519475006
Mérida,Castuera,70596.9563808553
Mérida,Monterrubio de la Serena,89096.8809045832
Mérida,Villanueva de la Serena,54077.1353582373
Mérida,Badajoz,51987.8504059154
Mérida,Trujillo,71458.5900675919
Mérida,Moraleja,128748.403326428
Mérida,Nuñomoral,164170.908718229
Mérida,Cabezuela del Valle,151950.873464234
Mérida,Aldeanueva del Camino,153889.323500229
Mérida,Ceclavín,109961.665671666
Mérida,Montehermoso,127811.062781287
Mérida,Jaraíz de la Vera,133210.563254071
Mérida,Navalmoral de la Mata,131377.108658282
Mérida,Jarandilla de la Vera,146105.798754764
Mérida,Plasencia,122527.655066753
Mérida,Cañaveral,97276.9157456269
Mérida,Cadalso,150829.655448654
Mérida,Coria,113470.692317388
Mérida,Serradilla,102259.806915461
Mérida,Millanes,125277.321343357
Mérida,Casatejada,122662.178718432
Mérida,Escurial,47232.6481611362
Mérida,Almaraz,114156.49691275
Mérida,Miajadas,44118.7038198654
Mérida,Valencia de Alcántara,94861.8699558613
Mérida,Trujillo,76101.8549766539
Mérida,Montánchez,37832.7353754887
Mérida,Castañar de Ibor,111517.248649722
Mérida,Miajadas,44140.5473220697
Mérida,Brozas,85135.9920067945
Mérida,Logrosán,87584.8348076516
Mérida,Cáceres,67219.9602398882
Don Benito,Ribera del Fresno,53543.4367236154
Don Benito,Ribera del Fresno,54961.020280715
Don Benito,Don Benito,4662.03962025276
Don Benito,Talavera la Real,78614.342248468
Don Benito,Atalaya,85206.4622585689
Don Benito,Quintana de la Serena,29765.2349429066
Don Benito,Cabeza del Buey,61623.5997988555
Don Benito,Fregenal de la Sierra,110825.91595667
Don Benito,Fuente del Maestre,71737.6777973395
Don Benito,Llerena,82217.8511985511
Don Benito,Siruela,67237.7529487733
Don Benito,Puebla del Prior,53213.048582045
Don Benito,Olivenza,109171.423013524
Don Benito,Mérida,45968.3105300313
Don Benito,Castuera,36279.9766666043
Don Benito,Monterrubio de la Serena,58151.9246138405
Don Benito,Villanueva de la Serena,12539.6569963653
Don Benito,Badajoz,93683.6702190981
Don Benito,Moraleja,139414.402226053
Don Benito,Nuñomoral,161876.033522205
Don Benito,Cabezuela del Valle,140018.725847983
Don Benito,Aldeanueva del Camino,145272.099089864
Don Benito,Ceclavín,126958.521928851
Don Benito,Montehermoso,130825.55423945
Don Benito,Jaraíz de la Vera,119072.208773212
Don Benito,Navalmoral de la Mata,112749.766358689
Don Benito,Jarandilla de la Vera,130106.984486302
Don Benito,Plasencia,118776.513810171
Don Benito,Cañaveral,102677.087272804
Don Benito,Cadalso,156248.638185733
Don Benito,Coria,121756.928175998
Don Benito,Serradilla,98607.627413393
Don Benito,Millanes,104952.232607873
Don Benito,Casatejada,105438.49710454
Don Benito,Escurial,22695.6206057328
Don Benito,Almaraz,95840.6347765994
Don Benito,Miajadas,20759.3585020932
Don Benito,Valencia de Alcántara,128883.257996977
Don Benito,Montánchez,40509.0135575766
Don Benito,Castañar de Ibor,83527.1192500185
Don Benito,Miajadas,20825.6893043425
Don Benito,Brozas,107120.080522623
Don Benito,Logrosán,53026.1443322607
Don Benito,Cáceres,79209.8426875923
Almendralejo,Ribera del Fresno,19613.0024169068
Almendralejo,Ribera del Fresno,20907.1776337816
Almendralejo,Don Benito,54178.5087337816
Almendralejo,Talavera la Real,39283.2065092703
Almendralejo,Atalaya,36529.3266530683
Almendralejo,Quintana de la Serena,65261.8340313524
Almendralejo,Cabeza del Buey,103907.557347368
Almendralejo,Fregenal de la Sierra,61412.1824256261
Almendralejo,Fuente del Maestre,19445.2297944242
Almendralejo,Llerena,60571.775529529
Almendralejo,Siruela,119111.655562043
Almendralejo,Puebla del Prior,20379.9986415472
Almendralejo,Olivenza,57800.2425854533
Almendralejo,Mérida,25528.4306567699
Almendralejo,Castuera,73268.4394620021
Almendralejo,Monterrubio de la Serena,86778.9033454082
Almendralejo,Villanueva de la Serena,66216.8964485094
Almendralejo,Badajoz,52916.6186461215
Almendralejo,Trujillo,96364.2607377387
Almendralejo,Moraleja,153203.42282989
Almendralejo,Nuñomoral,190391.63361026
Almendralejo,Cabezuela del Valle,178290.366293167
Almendralejo,Aldeanueva del Camino,180336.327810434
Almendralejo,Ceclavín,132936.103885921
