origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Badajoz,Mérida,9.2782426,59981.3398913,4.6991516,59995.3172855
Badajoz,Don Benito,9.2782426,107574.2606943,9.0460836,107592.5850205
Badajoz,Almendralejo,9.2782426,57598.8662827,22.7350502,57630.8795755
Badajoz,Villanueva de la Serena,9.2782426,114276.7484335,3.2252056,114289.2518817
Badajoz,Zafra,9.2782426,73576.0741015,26.6533146,73612.0056588
Badajoz,Montijo,9.2782426,37762.566256,3.3045551,37775.1490537
Badajoz,Villafranca de los Barros,9.2782426,72869.7801816,5.2825318,72884.340956
Badajoz,Olivenza,9.2782426,35718.1243611,2.6871577,35730.0897614
Badajoz,Jerez de los Caballeros,9.2782426,72109.2937767,2.528971,72121.1009903
Badajoz,Azuaga,9.2782426,146895.72875,2.5708787,146907.5778714
Badajoz,"Santos de Maimona, Los",9.2782426,74172.137651,5.1855321,74186.6014257
Badajoz,Guareña,9.2782426,83361.1194535,2.1017569,83372.4994531
Badajoz,Fuente del Maestre,9.2782426,64339.8657461,0.89277,64350.0367587
Badajoz,Castuera,9.2782426,142821.5182921,30.6200531,142861.4165879
Badajoz,Calamonte,9.2782426,56666.0878967,6.3796313,56681.7457706
Badajoz,Llerena,9.2782426,115911.5357373,8.0070052,115928.8209852
Badajoz,Puebla de la Calzada,9.2782426,37600.0207288,1.6992843,37610.9982557
Badajoz,San Vicente de Alcántara,9.2782426,77748.3743272,2.4165178,77760.0690876
Badajoz,Alburquerque,9.2782426,44528.3329302,15.9888221,44553.5999948
Badajoz,Aceuchal,9.2782426,56352.741787,20.4976633,56382.517693
Badajoz,Oliva de la Frontera,9.2782426,81526.3710133,55.3382434,81590.9874994
Badajoz,Talavera la Real,9.2782426,18587.0116671,0.5012929,18596.7912027
Badajoz,Cabeza del Buey,9.2782426,174557.7542785,19.3496998,174586.382221
Badajoz,Campanario,9.2782426,134485.301727,20.2293095,134514.8092792
Badajoz,Fregenal de la Sierra,9.2782426,93574.3283737,34.0390132,93617.6456295
Badajoz,Quintana de la Serena,9.2782426,131117.7049219,6.0516463,131133.0348109
Badajoz,Fuente de Cantos,9.2782426,98085.5753918,39.9114211,98134.7650555
Badajoz,Navalvillar de Pela,9.2782426,143936.5048983,0.909443,143946.6925839
Badajoz,Monesterio,9.2782426,117687.4282854,15.4971099,117712.203638
Badajoz,Santa Amalia,9.2782426,93262.5748664,26.4413589,93298.294468
