municipio,poblacion,km2,densidad,provincia,planta_id,planta_municipio,distancia_km,produccion_t,tkm,C_trans,C_trat,C_fix_unit,C_tot
Villarta de los Montes,587,123.32,4.76,Badajoz,11,Siruela,117.13,293.5,34377.86,41.0,8.2,7.85,49.2
Carrascalejo,337,48.48,6.95,CÂ ceres,42,Castañar de Ibor,54.19,168.5,9130.37,18.97,20.06,19.71,39.03
Helechosa de los Montes,716,308.72,2.32,Badajoz,11,Siruela,86.49,358.0,30965.17,30.27,8.2,7.85,38.48
Valdecaballeros,1218,90.12,13.52,Badajoz,11,Siruela,67.27,609.0,40967.32,23.54,8.2,7.85,31.75
Cabañas del Castillo,423,105.27,4.02,CÂ ceres,42,Castañar de Ibor,32.69,211.5,6913.7,11.44,20.06,19.71,31.51
Valencia del Mombuey,782,74.95,10.43,Badajoz,5,Atalaya,69.19,391.0,27053.75,24.22,7.09,6.74,31.3
Monroy,994,204.45,4.86,CÂ ceres,33,Serradilla,31.43,497.0,15622.74,11.0,19.84,19.49,30.85
Santiago del Campo,307,73.33,4.19,CÂ ceres,30,Cañaveral,25.41,153.5,3900.74,8.89,21.63,21.28,30.52
Talav n,923,98.48,9.37,CÂ ceres,30,Cañaveral,25.31,461.5,11678.99,8.86,21.63,21.28,30.48
Granja de Torrehermosa,2377,151.69,15.67,Badajoz,16,Monterrubio de la Serena,44.02,1188.5,52319.01,15.41,14.4,14.05,29.8
Castilblanco,1151,132.24,8.7,Badajoz,11,Siruela,57.66,575.5,33185.14,20.18,8.2,7.85,28.38
Higuera la Real,2474,125.64,19.69,Badajoz,5,Atalaya,60.81,1237.0,75221.44,21.28,7.09,6.74,28.37
Hinojal,441,63.45,6.95,CÂ ceres,30,Cañaveral,18.63,220.5,4106.83,6.52,21.63,21.28,28.15
Deleitosa,838,144.21,5.81,CÂ ceres,42,Castañar de Ibor,23.05,419.0,9659.71,8.07,20.06,19.71,28.13
Torrejón el Rubio,614,221.88,2.77,CÂ ceres,33,Serradilla,21.99,307.0,6749.42,7.69,19.84,19.49,27.54
Fresnedoso de Ibor,329,54.66,6.02,CÂ ceres,42,Castañar de Ibor,17.19,164.5,2827.39,6.02,20.06,19.71,26.08
Malcocinado,449,26.24,17.11,Badajoz,10,Llerena,54.9,224.5,12325.51,19.22,6.66,6.31,25.88
Villar del Pedroso,673,242.4,2.78,CÂ ceres,27,Navalmoral de la Mata,49.61,336.5,16693.61,17.36,8.41,8.06,25.77
Eljas,1033,32.55,31.74,CÂ ceres,31,Cadalso,48.34,516.5,24967.82,16.92,8.81,8.46,25.73
Valverde del Fresno,2509,196.97,12.74,CÂ ceres,31,Cadalso,47.38,1254.5,59433.57,16.58,8.81,8.46,25.4
Herrera de Alcántara,285,121.61,2.34,CÂ ceres,39,Valencia de Alcántara,47.17,142.5,6722.33,16.51,8.61,8.26,25.12
San Martín de Trevejo,916,24.76,37.0,CÂ ceres,31,Cadalso,46.39,458.0,21246.06,16.24,8.81,8.46,25.05
Pedroso de Acim,115,33.23,3.46,CÂ ceres,30,Cañaveral,9.51,57.5,546.78,3.33,21.63,21.28,24.95
Piedras Albas,207,4.54,45.59,CÂ ceres,24,Ceclavín,19.59,103.5,2027.92,6.86,18.04,17.69,24.9
Cedillo,497,61.56,8.07,CÂ ceres,39,Valencia de Alcántara,45.47,248.5,11299.82,15.92,8.61,8.26,24.52
Garganta. La,490,24.08,20.35,CÂ ceres,22,Cabezuela del Valle,44.7,245.0,10951.54,15.65,8.81,8.46,24.46
Oliva de la Frontera,5612,149.34,37.58,Badajoz,5,Atalaya,49.23,2806.0,138143.82,17.23,7.09,6.74,24.32
Mirabel,730,49.3,14.81,CÂ ceres,33,Serradilla,12.78,365.0,4663.75,4.47,19.84,19.49,24.32
Acehúche,852,91.06,9.36,CÂ ceres,24,Ceclavín,17.89,426.0,7621.98,6.26,18.04,17.69,24.3
Casas de Millán,690,152.91,4.51,CÂ ceres,30,Cañaveral,7.55,345.0,2605.38,2.64,21.63,21.28,24.27
Pesga. La,1123,19.88,56.49,CÂ ceres,21,Nuñomoral,41.77,561.5,23456.15,14.62,9.38,9.03,24.0
Zah¡nos,2906,45.3,64.15,Badajoz,13,Olivenza,48.82,1453.0,70940.0,17.09,6.59,6.24,23.67
Robledollano,402,61.74,6.51,CÂ ceres,42,Castañar de Ibor,9.51,201.0,1911.86,3.33,20.06,19.71,23.39
Peraleda del Zaucejo,608,163.65,3.72,Badajoz,16,Monterrubio de la Serena,25.16,304.0,7647.49,8.8,14.4,14.05,23.2
Herreruela,386,113.72,3.39,CÂ ceres,44,Brozas,37.69,193.0,7274.34,13.19,9.9,9.55,23.1
Navalvillar de Ibor,504,55.53,9.08,CÂ ceres,42,Castañar de Ibor,8.48,252.0,2136.52,2.97,20.06,19.71,23.03
Madrigalejo,1953,100.81,19.37,CÂ ceres,45,Logrosán,40.6,976.5,39641.62,14.21,8.69,8.34,22.9
Herrera del Duque,3688,277.31,13.3,Badajoz,11,Siruela,41.87,1844.0,77203.17,14.65,8.2,7.85,22.86
Valdelacasa de Tajo,455,72.9,6.24,CÂ ceres,27,Navalmoral de la Mata,41.08,227.5,9344.65,14.38,8.41,8.06,22.79
Campillo de Deleitosa,79,25.6,3.09,CÂ ceres,27,Navalmoral de la Mata,41.01,39.5,1619.77,14.35,8.41,8.06,22.76
Al¡a,1021,599.51,1.7,CÂ ceres,45,Logrosán,39.4,510.5,20111.5,13.79,8.69,8.34,22.48
Cañaveral,1284,86.48,14.85,CÂ ceres,30,Cañaveral,2.2,642.0,1411.76,0.77,21.63,21.28,22.4
Villamiel,675,73.09,9.24,CÂ ceres,31,Cadalso,38.4,337.5,12960.57,13.44,8.81,8.46,22.25
Baños de Montemayor,703,21.98,31.98,CÂ ceres,22,Cabezuela del Valle,38.36,351.5,13482.41,13.42,8.81,8.46,22.24
Alcollarín,266,79.92,3.33,CÂ ceres,36,Escurial,16.99,133.0,2259.84,5.95,16.09,15.74,22.04
Manchita,764,38.23,19.98,Badajoz,3,Don Benito,45.83,382.0,17507.96,16.04,5.83,5.48,21.87
Cilleros,1868,208.94,8.94,CÂ ceres,31,Cadalso,36.74,934.0,34317.62,12.86,8.81,8.46,21.67
Campillo de Llerena,1518,234.04,6.49,Badajoz,10,Llerena,42.74,759.0,32435.89,14.96,6.66,6.31,21.62
Valle de Santa Ana,1192,3.73,319.57,Badajoz,9,Fuente del Maestre,49.43,596.0,29461.0,17.3,4.22,3.87,21.52
Abertura,454,62.71,7.24,CÂ ceres,36,Escurial,15.5,227.0,3518.59,5.43,16.09,15.74,21.52
Villagarcía de la Torre,986,67.47,14.61,Badajoz,1,Ribera del Fresno,37.15,493.0,18316.71,13.0,8.5,8.15,21.5
Villanueva del Fresno,3678,360.18,10.21,Badajoz,13,Olivenza,42.26,1839.0,77718.38,14.79,6.59,6.24,21.38
Zarza la Mayor,1409,170.28,8.27,CÂ ceres,24,Ceclavín,9.35,704.5,6587.32,3.27,18.04,17.69,21.31
Villamesías,311,46.47,6.69,CÂ ceres,36,Escurial,14.91,155.5,2319.23,5.22,16.09,15.74,21.31
