mun_norm,plant_id,dist_km,prod_t
ahigal,-1,26.007516605390318,13.44
aldeanueva del camino,-1,0.6588471809350694,400.0
baos de montemayor,-1,9.717690894024555,338.5502249396397
casas del monte,-1,9.153618702127964,20.759999999999998
garganta la,-1,15.94208646695692,77.58
gargantilla,-1,3.2810055737057358,12.68
granja la,-1,7.713298037389742,90.78
guijo de granadilla,-1,24.03537724029351,29.46
hervs,-1,6.851404521067758,465.0199999999999
jarilla,-1,13.93818234338216,23.942980233147487
pinofranqueado,-1,45.7077083219388,5.3
plasencia,-1,33.87028553683549,1.6158386130353932
segura de toro,-1,6.794122234372903,11.94
zarza de granadilla,-1,11.98487114195313,310.98
albuera la,18,30.81523339709932,78.17999999999999
badajoz,18,7.986472144019239,72029.77500000001
carmonita,18,68.89983049301829,122.71
codosera la,18,49.93713445349474,48.0
hinojal,18,115.1484708229758,12.0
montijo,18,30.27830689627169,0.66
olivenza,18,33.75831926419229,35.3
puebla de alcocer,18,159.4142553759363,3.38
puebla de la calzada,18,29.2125988621644,62.5
puebla de obando,18,43.53480586799987,149.92
roca de la sierra la,18,33.98869623683678,758.2072614486407
talavera la real,18,21.68013540501848,663.9599999999999
villafranca de los barros,18,76.52330599424954,110.44
villar del rey,18,27.64537271171114,140.0
alcntara,44,17.20641304365384,826.5
aliseda,44,23.94067125946772,5.640000000000001
brozas,44,1.688541065481679,1061.5
membro,44,32.22152020794807,32.540000000000006
navas del madroo,44,13.06395340811173,45.42
salorino,44,30.55261234015111,9.88
cabezuela del valle,22,4.5996204733506305,378.38
jerte,22,6.7494060744417705,660.275017135024
navaconcejo,22,7.28924822212462,703.0927982687839
plasencia,22,36.5465143898232,1.6370996474174377
valdastillas,22,15.0943626218688,12.12
aldea del cano,46,31.14244495459591,312.5246249208529
aliseda,46,31.08376164188967,139.56
arroyo de la luz,46,17.980310252075252,1449.77
arroyomolinos,46,50.98929274861622,14.46
casatejada,46,105.6730094260032,5.3
cedillo,46,113.52394568188751,11.179997015593525
guijo de granadilla,46,90.45529689423839,51.18
herreruela,46,51.708698182746794,5.6
hinojal,46,25.83515417555884,13.04
majadas,46,101.4703245345898,9.32
malpartida de plasencia,46,73.38410263705573,0.6274853316488824
monroy,46,34.53976596309469,5.28
navalmoral de la mata,46,113.228893715521,3.78
navas del madroo,46,31.270346166557,22.38
nuomoral,46,125.7684571273026,0.22
plasencia,46,71.30289148737056,6.665334278770996
puebla de obando,46,49.34746619123937,38.300000000000004
roca de la sierra la,46,58.56277319114615,4.79273855135924
salorino,46,60.670905883247315,31.7
santiago del campo,46,17.28015068369075,150.08567228755268
sierra de fuentes,46,21.410968638965688,553.3399999999999
torreorgaz,46,25.06642747232216,72.72
torrequemada,46,28.13034602501478,51.879999999999995
trujillo,46,55.20414098470254,12.440000000000001
valencia del ventoso,46,154.85077777195858,5.58
acebo,31,25.62694045431689,80.68930134987232
descargamara,31,5.9650536638585026,14.280000000000001
gata,31,10.929252485333059,19.02
robledillo de gata,31,8.839856801927233,57.44
san martn de trevejo,31,35.64368199556701,27.159999999999997
cachorrilla,-2,14.03905778796774,35.02
calzadilla,-2,18.263412746093262,8.02
caminomorisco,-2,57.83009197743653,23.3
casillas de coria,-2,17.20463676458148,19.520000000000003
coria,-2,7.550130796667531,2318.1000000000004
eljas,-2,52.79374142980515,14.84
guijo de coria,-2,24.833344252698268,33.716635956830736
holguera,-2,16.597749498782118,19.04
mirabel,-2,33.79645964389881,10.070183930300097
moraleja,-2,22.71852262961149,118.10618587769756
pedroso de acim,-2,17.238054817132042,55.910586034160175
portaje,-2,4.453616741546546,186.69054441260747
portezuelo,-2,15.06877486898661,113.0
riolobos,-2,20.68548755328164,103.8
torre de don miguel,-2,43.35127906139919,13.26
torrejoncillo,-2,5.803934559629323,417.04
valverde del fresno,-2,53.47226868866204,112.74
zarza la mayor,-2,38.22221198491332,10.72
acedera,3,35.32966299210943,8.08
aceuchal,3,71.49975833075723,18.88
alconchel,3,132.5732746777359,58.4599995
alconera,3,95.12528804533947,4.3199996
aldea del cano,3,66.69294686168378,10.569378195442019
aldeacentenera,3,79.5621510827216,3.1200002
almaraz,3,115.4264023658613,221.05999609999998
almendral,3,102.84911549402301,0.4
almendralejo,3,63.28533705229647,101.98000529999999
almoharn,3,39.998564963102,268.36
azuaga,3,84.5884893175136,10.64
badajoz,3,106.932723264447,352.32000700000003
barcarrota,3,112.5757811504587,20.76
berlanga,3,82.97558085044813,11.319999999999999
bienvenida,3,94.53953793924921,14.44
cabeza del buey,3,68.98012256262454,4.96
cceres,3,87.99479505302342,835.60001818
calamonte,3,52.91218896291018,12.2399995
campanario,3,24.21843650692076,2590.7700085600004
campo lugar,3,35.31958096696985,7.6599995
caaveral,3,128.8376084135729,147.21
casar de cceres,3,98.33582267125354,20.18
casas de don pedro,3,59.205612172314176,60.4000011
castuera,3,38.913938595084396,578.240035
cheles,3,150.7242531157772,1.699999
coria,3,154.8028415986093,60.88000000000001
deleitosa,3,94.39178091624846,7.98
don benito,3,5.033494614879317,17895.5
risco,3,79.10647490972205,0.18
esparragalejo,3,56.336905908361544,1.799999
esparragosa de lares,3,58.68102417650952,0.78
fregenal de la sierra,3,126.95323529609571,0.48
fuenlabrada de los montes,3,96.23152859403487,4.359999
fuente de cantos,3,103.938311830045,4.16
fuentes de len,3,131.79641634027791,5.58
fuente del maestre,3,81.66774941213653,37.900000000000006
granja de torrehermosa,3,80.7053408493721,4.5600003
guadalupe,3,88.67971798918536,8.1400006
guarea,3,25.273125658607448,206.31999860000002
guijo de coria,3,169.6031895489693,0.4965780468544353
herguijuela,3,58.78727457710552,0.3250443344370392
herrera del duque,3,89.1649155855923,10.140002
hervs,3,182.0875087120644,11.479999
higuera de la serena,3,38.62291403772599,0.14
higuera la real,3,131.6411843662743,0.36
hornachos,3,59.45064036548006,45.499997199999996
jarandilla de la vera,3,158.49687780403792,16.24
jerez de los caballeros,3,123.2582001004339,76.9399999
llera,3,72.45940883542741,15.219999999999999
llerena,3,97.05109733138124,73.48000210000001
lobn,3,74.38857033138675,544.8600131999999
madrigalejo,3,36.96123742982312,976.4999999999999
madroera,3,64.74958843996058,0.5
magacela,3,12.33448557953464,185.25999790000003
malpartida de plasencia,3,138.89734862105692,2.9581448147705833
manchita,3,25.28911358361719,15.540000000000001
medina de las torres,3,95.92547739134208,2.1
mengabril,3,8.829360713754705,56.119999
miajadas,3,28.095221343250227,208.0599986
montehermoso,3,164.3694465294954,19.52
montijo,3,73.14125307559516,30.439997599999998
navalmoral de la mata,3,130.1114101079447,1.64
navalvillar de pela,3,46.65595850219421,495.42000210000003
navezuelas,3,94.40295962115557,0.96
olivenza,3,124.57673202470829,20.28
orellana de la sierra,3,42.742546387125415,7.44
orellana la vieja,3,38.18591901559469,31.159999300000003
palomas,3,45.790187020504355,2.16
pealsordo,3,79.24081473470316,0.76
plasencia,3,143.6364036783634,157.09778128426206
puebla de la calzada,3,74.30351536650952,5.92
puebla de sancho prez,3,89.64175706677946,4.7400006999999995
quintana de la serena,3,28.6134379793634,93.2199987
rena,3,18.70380467666719,151.30000328000003
ribera del fresno,3,64.98880615230955,7.42
robledillo de la vera,3,155.2800180800711,4.74
rosalejo,3,143.9623461344955,5.28
salvatierra de los barros,3,98.58638003008534,3.26
santa amalia,3,20.016451887498192,2163.0
santa ana,3,50.46649077228082,5.308220199910488
talarrubias,3,66.33099852776557,2.0800011
talayuela,3,140.2475571057218,36.1199979
talavera la real,3,88.65763293853901,1.2
tamurejo,3,93.9680480992205,0.6
torre de miguel sesmero,3,100.39207726402189,279.2599972
torre de santa mara,3,52.36037576973084,1.4
torrejoncillo,3,143.45787598025268,6.8
torremocha,3,64.13009857237594,0.9
trujillanos,3,40.03099064131277,0.2
trujillo,3,65.0268337620163,61.79999991
usagre,3,86.75195719241836,7.42
valdecaballeros,3,80.55224939548701,172.42000009999995
valdefuentes,3,54.86781182712552,2.400001
valdelacalzada,3,81.05513004588357,8.1799988
valdetorres,3,21.60991249321619,35.5599991
valle de santa ana,3,119.6032626371277,9.060002
valle de la serena,3,30.22316591270973,23.58
villafranca de los barros,3,70.90839806938342,1.5200008
villagonzalo,3,34.06478562612811,674.0
villalba de los barros,3,76.167620080427,0.86
villamesas,3,39.36208642177054,0.76
villanueva de la serena,3,11.27123586540456,9604.970013359996
villanueva del fresno,3,149.07083710453531,1.7
villar de rena,3,21.44697425150397,2.1999989
zafra,3,87.76708315863596,26.46
zalamea de la serena,3,38.57977425168351,42.72
zorita,3,47.328923468521914,21.819999000000003
aldeanueva de la vera,-3,15.705325016710711,57.75999999999999
arroyomolinos de la vera,-3,124.1335345380387,91.14
cuacos de yuste,-3,12.039182665750602,431.6366231035001
garganta la olla,-3,12.9330233526637,188.83999999999997
jarandilla de la vera,-3,20.07304817280788,2.6
losar de la vera,-3,24.492974097245718,4.72
malpartida de plasencia,-3,32.55136310278251,4.193907063571612
piornal,-3,21.20840232627022,4.4
plasencia,-3,36.46491874489527,8.036670996412877
robledillo de la vera,-3,24.16209046613113,1.12
rosalejo,-3,34.384426110077754,14.98
torremenga,-3,6.982167157390087,98.94
valverde de la vera,-3,33.64717403297922,32.56
villanueva de la vera,-3,36.64961163147296,20.919999999999998
aldeanueva de la vera,-4,6.352352874607661,323.2
cuacos de yuste,-4,10.08780988059425,20.93811025987682
jarandilla de la vera,-4,2.2415980339972053,837.2000000000002
losar de la vera,-4,4.487769609378012,89.56
madrigal de la vera,-4,29.15404292585148,124.98
navalmoral de la mata,-4,32.70428946561323,0.2
robledillo de la vera,-4,8.66231222224378,8.96
rosalejo,-4,28.285632202041818,27.880000000000003
valverde de la vera,-4,16.60606250650274,43.28
viandar de la vera,-4,12.637326929355929,2.82
benquerencia,45,60.67946546512071,48.99999999999999
cabaas del castillo,45,31.33427916332416,14.03
campo lugar,45,34.246396724611394,62.080000000000005
caamero,45,10.81544181545441,135.33999999999997
guadalupe,45,27.12966435199464,291.06
navezuelas,45,29.553551689743827,11.44
valdecaballeros,45,57.390982911073124,17.8
albal,41,3.4606927622612553,399.0
aldea del cano,41,16.21631340530151,37.15415764527074
aljucn,41,26.97758056215203,17.02
arroyomolinos,41,6.058374268360864,2.84
