mun,transport,total,prod,treatment
abada,1.799,8.360827228464938,162.5,6.561827228464939
abertura,5.4581043989194535,14.290843940629909,227.0,8.832739541710456
acebo,9.433510475916895,17.678858220997462,342.5,8.245347745080567
acedera,11.87828028487621,15.494468578993295,410.5,3.6161882941170855
acehche,6.2615,24.861673376647076,426.0,18.600173376647078
aceituna,3.7761162587785027,12.514114511965857,308.5,8.737998253187355
aceuchal,7.119848706832063,11.345070484718594,2839.5,4.225221777886531
ahigal,9.391107849448154,16.255971289989308,728.5,6.8648634405411535
ahillones,7.119,13.797378921613916,526.0,6.678378921613916
ala,13.79,22.62964672309185,510.5,8.83964672309185
alange,8.7395,12.809012688292375,1002.5,4.069512688292376
albal,1.2112424667914392,10.050386004326645,399.0,8.839143537535206
albuera la,8.09446034385179,14.849695864153624,993.0,6.755235520301834
alburquerque,14.566676844666663,17.38984013179492,2852.0,2.8231632871282564
alcntara,6.022244565278843,15.881156793264525,826.5,9.858912227985682
alcollarn,5.9464999999999995,14.781580431051601,133.0,8.835080431051601
alconchel,10.108098445800186,16.58236868968528,975.5,6.474270243885092
alconera,2.963783292397864,10.02916180619637,368.5,7.065378513798507
alcuscar,3.2305,12.069643537535208,1505.0,8.839143537535207
aldea del cano,10.732005639638832,14.792541089636691,360.5,4.060535449997859
aldea del obispo la,5.554499999999999,13.931492603085903,175.0,8.376992603085904
aldeacentenera,9.86660151286111,18.205212435336822,387.0,8.338610922475713
aldeanueva de la vera,3.2143070893904215,17.446820392937482,1137.5,14.23251330354706
aldeanueva del camino,0.2305965133272743,22.77755066279164,400.0,22.546954149464366
aldehuela de jerte,6.450499999999999,11.348400473904857,169.0,4.8979004739048575
aliseda,11.261259945737569,14.801412184596897,991.0,3.540152238859328
aljucn,8.52261005879952,13.236401453870572,126.0,4.713791395071052
almaraz,13.966675391202973,19.508070397026515,660.5,5.541395005823542
almendral,8.962557729409584,15.617165722731446,653.5,6.6546079933218625
almendralejo,7.617286899065195,11.842862227377795,16794.0,4.2255753283126
almoharn,7.268829757360359,14.701264325750223,998.5,7.432434568389865
arroyo de la luz,7.231411997223538,10.73539694053741,3258.5,3.5039849433138714
arroyo de san servn,3.6224999999999996,7.692012688292374,2138.0,4.069512688292375
arroyomolinos,11.165044251055917,19.04602680413901,499.5,7.8809825530830935
arroyomolinos de la vera,20.05028948985471,39.586205538539,248.5,19.53591604868429
atalaya,1.5154999999999998,8.621793721533642,169.0,7.106293721533643
azuaga,13.69788593042246,20.368414783785187,4150.5,6.670528853362727
badajoz,2.981849127268717,5.769186815051461,74167.0,2.7873376877827445
baos de montemayor,3.859753110329501,25.756490260855827,351.5,21.896737150526327
barcarrota,11.440502512622626,18.062836097238225,1849.0,6.6223335846156
barrado,9.447101655029993,15.681053497297349,238.5,6.233951842267356
baterno,5.998999999999999,14.62476105874807,176.0,8.625761058748072
belvs de monroy,4.0215,10.531368937200924,335.0,6.509868937200924
benquerencia,21.237812912792243,30.077459635884093,49.0,8.83964672309185
benquerencia de la serena,3.388,11.756655428969015,474.0,8.368655428969015
berlanga,10.075947883518095,16.726416983953857,1242.0,6.650469100435762
berrocalejo,11.5115,18.021368937200922,52.5,6.509868937200922
berzocana,6.4855,15.32514672309185,264.0,8.83964672309185
bienvenida,11.838169032454827,18.933932435273068,1163.0,7.095763402818241
bodonal de la sierra,2.541,11.382793952739185,569.5,8.841793952739184
bohonal de ibor,8.564530667031798,14.98473197532115,267.5,6.420201308289352
botija,9.263932955527931,18.018449457629305,99.5,8.754516502101374
brozas,0.5909893729185877,10.449901600904267,1061.5,9.85891222798568
burguillos del cerro,4.396,11.502293721533642,1643.0,7.106293721533642
caamero,4.101562331680203,12.941209054772054,893.5,8.839646723091851
caaveral,11.322773006668573,33.12209784023502,642.0,21.79932483356645
cabaas del castillo,12.13109858755514,31.292981817939253,211.5,19.161883230384113
cabeza del buey,0.5822733516055132,12.029680154786114,2705.5,11.4474068031806
cabeza la vaca,8.155,16.996793952739182,739.5,8.841793952739183
cabezabellosa,9.037048287528709,15.202239961389902,209.0,6.165191673861193
cabezuela del valle,2.661201102574327,9.094415937084165,1064.5,6.433214834509838
cabrero,9.603134141892852,15.724854998419948,184.5,6.121720856527096
cachorrilla,4.925848845314421,15.644207569570211,46.5,10.71835872425579
cadalso,2.1894575489554695,10.987793953327866,253.0,8.798336404372396
calamonte,1.042526153688564,5.11024256798999,3089.0,4.067716414301426
calera de len,11.479999999999999,20.321793952739185,530.0,8.841793952739186
calzadilla,6.116956759433968,14.78468667530636,242.5,8.667729915872393
calzadilla de los barros,11.217499999999998,18.32379372153364,431.5,7.106293721533643
caminomorisco,6.324557759477725,16.14598160136522,629.0,9.821423841887498
campanario,8.343069737359224,11.95925803147631,2683.5,3.6161882941170855
campillo de deleitosa,14.353499999999997,20.86336893720092,39.5,6.509868937200924
campillo de llerena,14.959,21.637378921613916,759.0,6.678378921613916
