plant_id,C_i_S1,D90_i_S1,Prec_i_S1,Rec_i_S1,Leak_dg_i_S1,IET_i_S1,C_i_S2,D90_i_S2,Prec_i_S2,Rec_i_S2,Leak_dg_i_S2,IET_i_S2,C_i_S3,D90_i_S3,Prec_i_S3,Rec_i_S3,Leak_dg_i_S3,IET_i_S3,delta_C_i_S2_minus_S1,delta_C_i_S3_minus_S2,delta_D90_i_S2_minus_S1,delta_D90_i_S3_minus_S2,delta_Prec_i_S2_minus_S1,delta_Prec_i_S3_minus_S2,delta_Rec_i_S2_minus_S1,delta_Rec_i_S3_minus_S2,delta_Leak_dg_i_S2_minus_S1,delta_Leak_dg_i_S3_minus_S2,delta_IET_i_S2_minus_S1,delta_IET_i_S3_minus_S2
-4,,,,,,,29.717310590091238,25.40289544175304,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
-3,,,,,,,50.54080972550986,45.10490215188791,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
-2,,,,,,,15.283130862680656,21.18688090040648,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
-1,,,,,,,25.344671502059796,13.46184301367229,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1,13.900284005979074,32.74726588907403,1.0,1.0,0.0,100.0,12.54503536134516,32.75344862551221,1.0,0.9870165061857964,0.2164287770315116,101.21738868278588,12.807822304459066,23.379397421140013,1.0,0.3480583913748688,0.0,369.71892582583166,-1.3552486446339138,0.2627869431139054,0.006182736438184122,-9.3740512043722,0.0,0.0,-0.012983493814203606,-0.6389581148109276,0.2164287770315116,-0.2164287770315116,1.2173886827858809,268.50153714304577
3,11.369840065115593,31.84472791519438,1.0,1.0,0.0,100.0,11.0035409417138,38.65667757027469,0.8690336863376082,1.0,0.0,65.14641634741821,9.903820876830787,37.55118414281049,0.8861308039887815,1.0,0.0,81.30522565605378,-0.3662991234017934,-1.0997200648830123,6.8119496550803085,-1.1054934274641965,-0.13096631366239175,0.017097117651173277,0.0,0.0,0.0,0.0,-34.85358365258179,16.15880930863557
4,14.461589622366194,26.86704842428901,1.0,1.0,0.0,100.0,15.025250504661845,27.06659757496043,1.0,0.9190030928150352,0.6210348236525713,104.70244616784298,,,,,,,0.5636608822956504,,0.19954915067141954,,0.0,,-0.08099690718496477,,0.6210348236525713,,4.702446167842979,
5,18.28855608365019,57.55339351966362,1.0,1.0,0.0,100.0,18.312716958640426,57.60594716335444,1.0,0.9940405576552598,0.1722343978283552,100.54304660327388,19.233059310022306,58.63088558001485,1.0,0.8807984790874525,0.0,108.12539633912996,0.02416087499023689,0.9203423513818798,0.05255364369082116,1.0249384166604045,0.0,0.0,-0.005959442344740218,-0.11324207856780732,0.1722343978283552,-0.1722343978283552,0.5430466032738792,7.582349735856084
6,12.034656936361932,23.959539708265805,1.0,1.0,0.0,100.0,12.00307161762879,24.74700537098059,1.0,0.9307396251454852,0.4767126743588961,103.23784488912592,11.75020752984785,21.23006465227818,0.8569889228912547,0.9331237094049184,0.0,85.17791981006722,-0.03158531873314274,-0.2528640877809387,0.7874656627147871,-3.5169407187024113,0.0,-0.14301107710874528,-0.06926037485451475,0.00238408425943315,0.4767126743588961,-0.4767126743588961,3.237844889125924,-18.0599250790587
7,13.35391901261961,18.420035790980677,1.0,1.0,0.0,100.0,13.375485037974544,18.42224983518216,1.0,0.9984135348772708,0.0245369537614636,100.10862026083068,13.35649449452226,18.415391052254837,1.0,1.0,0.0,100.01844823306944,0.021566025354934126,-0.01899054345228457,0.0022140442014837447,-0.006858782927324114,0.0,0.0,-0.001586465122729197,0.001586465122729197,0.0245369537614636,-0.0245369537614636,0.10862026083067633,-0.09017202776124122
