"DENOMINACI","MUNICIPIO","Nombre","Id"
"AGLOMERADOS ARAYA,S.L.","Ribera del Fresno","Ribera del Fresno - AGLOMERADOS ARAYA,S.L.",1
"FERRAM MOVIMIENTOS DE TIERRAS, S.L. ( )","Ribera del Fresno","Ribera del Fresno - FERRAM MOVIMIENTOS DE TIERRAS, S.L. ( )",2
"ANTOLIN GOMEZ
VELLERINO, S.L.","Don Benito","Don Benito - ANTOLIN GOMEZ
VELLERINO, S.L.",3
"ARIDOS ROMERO, S.L.","Talavera la Real","Talavera la Real - ARIDOS ROMERO, S.L.",4
"ÁRIDOS SUR OESTE, SL","Atalaya","Atalaya - ÁRIDOS SUR OESTE, SL",5
"CALIXTO FERNÁNDEZ
ORTIZ","Quintana de la Serena","Quintana de la Serena - CALIXTO FERNÁNDEZ
ORTIZ",6
"HIJOS DE LOREN, S.L.","Cabeza del Buey","Cabeza del Buey - HIJOS DE LOREN, S.L.",7
"HORMIFREX, S.A.L.","Fregenal de la Sierra","Fregenal de la Sierra - HORMIFREX, S.A.L.",8
"JUAN JOSÉ GARCÍA
LLORENS","Fuente del Maestre","Fuente del Maestre - JUAN JOSÉ GARCÍA
LLORENS",9
"MARTIN ANTONIO CHACON CRISOSTOMO","Llerena","Llerena - MARTIN ANTONIO CHACON CRISOSTOMO",10
"MUNDI PIZARRO, S.L.U.","Siruela","Siruela - MUNDI PIZARRO, S.L.U.",11
"PEDRO GARCIA PAVON","Puebla del Prior","Puebla del Prior - PEDRO GARCIA PAVON",12
"RECICLA SIGLO XXI, S.L.","Olivenza","Olivenza - RECICLA SIGLO XXI, S.L.",13
"RECICLAJES LA GRULLA,
S.L.U.","Mérida","Mérida - RECICLAJES LA GRULLA,
S.L.U.",14
"TRANSPORTES Y
RECICLAJES KELE, S.L","Castuera","Castuera - TRANSPORTES Y
RECICLAJES KELE, S.L",15
"VICENTE FERNÁNDEZ RODRÍGUEZ","Monterrubio de la Serena","Monterrubio de la Serena - VICENTE FERNÁNDEZ RODRÍGUEZ",16
"ZIMENTA INGENIERIA Y CONSTRUCCIONES, S.L.","Villanueva de la Serena","Villanueva de la Serena - ZIMENTA INGENIERIA Y CONSTRUCCIONES, S.L.",17
"RECICLADOS EXTREMEÑOS, S.L.","Badajoz","Badajoz - RECICLADOS EXTREMEÑOS, S.L.",18
"ALMACENES RUFER,S.L","Trujillo","Trujillo - ALMACENES RUFER,S.L",19
"ARAPLASA DE
RESIDUOS, S.A.","Moraleja","Moraleja - ARAPLASA DE
RESIDUOS, S.A.",20
"ARAPLASA DE
RESIDUOS, S. A.","Nuñomoral","Nuñomoral - ARAPLASA DE
RESIDUOS, S. A.",21
"ARAPLASA DE
RESIDUOS, S.A.","Cabezuela del Valle","Cabezuela del Valle - ARAPLASA DE
RESIDUOS, S.A.",22
"ARAPLASA DE
RESIDUOS, S.A.","Aldeanueva del Camino","Aldeanueva del Camino - ARAPLASA DE
RESIDUOS, S.A.",23
"ARAPLASA DE
RESIDUOS, S.A.","Ceclavín","Ceclavín - ARAPLASA DE
RESIDUOS, S.A.",24
"ARAPLASA DE
RESIDUOS, S.A.","Montehermoso","Montehermoso - ARAPLASA DE
RESIDUOS, S.A.",25
"ARAPLASA DE
RESIDUOS, S.A.","Jaraíz de la Vera","Jaraíz de la Vera - ARAPLASA DE
RESIDUOS, S.A.",26
"ARAPLASA DE
RESIDUOS, S.A.","Navalmoral de la Mata","Navalmoral de la Mata - ARAPLASA DE
RESIDUOS, S.A.",27
"ARAPLASA DE
RESIDUOS, S.A.","Jarandilla de la Vera","Jarandilla de la Vera - ARAPLASA DE
RESIDUOS, S.A.",28
"ARAPLASA DE
RESIDUOS, S.A.","Plasencia","Plasencia - ARAPLASA DE
RESIDUOS, S.A.",29
"ARAPLASA DE
RESIDUOS, S.A.","Cañaveral","Cañaveral - ARAPLASA DE
RESIDUOS, S.A.",30
"ARAPLASA DE
RESIDUOS, S.A.","Cadalso","Cadalso - ARAPLASA DE
RESIDUOS, S.A.",31
"ARAPLASA DE
RESIDUOS, S.A.","Coria","Coria - ARAPLASA DE
RESIDUOS, S.A.",32
"ARAPLASA DE
RESIDUOS, S.A.","Serradilla","Serradilla - ARAPLASA DE
RESIDUOS, S.A.",33
