NOMBRE,HBT,HBT5,INC,PORC,KM2,Densidad,CP,CA,PROVIN,AUTONOM,CAPITAL,Tnkm,Prod,Dist_km,Tn_km,Planta,C_Trans,C_Trat,C_Tot
Badajoz,148334,139135,9199,6.61,1470.43,100.88,6,11,Badajoz,Extremadura,Badajoz,1339752.07,74167.0,18.06,1339752.07,ARIDOS ROMERO. SL,6.32,0.81,7.13
Mérida,56395,52200,4195,8.04,857.12,65.8,6,11,Badajoz,Extremadura,Mâ€šrida,116997.605,28197.5,4.15,116997.61,"RECICLAJES LA GRULLA.
SLU",1.45,0.91,2.36
Don Benito,35791,32783,3008,9.18,561.99,63.69,6,11,Badajoz,Extremadura,Don Benito,83696.9,17895.5,4.68,83696.9,"ANTOLIN GOMEZ
VELLERINO. SL",1.64,0.93,2.57
Almendralejo,33588,29132,4456,15.3,164.27,204.47,6,11,Badajoz,Extremadura,Almendralejo,326890.561,16794.0,19.46,326890.56,"JUAN JOSÉ GARCÍA
LLORENS",6.81,1.12,7.93
Villanueva de la Serena,25838,24491,1347,5.5,152.57,169.35,6,11,Badajoz,Extremadura,Villanueva de la Serena,110988.278,12919.0,8.59,110988.28,"ANTOLIN GOMEZ
VELLERINO. SL",3.01,0.93,3.94
Zafra,16424,15542,882,5.67,62.6,262.36,6,11,Badajoz,Extremadura,Zafra,74405.544,8212.0,9.06,74405.54,ÁRIDOS SUR OESTE. SL,3.17,2.28,5.45
Montijo,16236,15512,724,4.67,119.68,135.66,6,11,Badajoz,Extremadura,Montijo,108073.138,8118.0,13.31,108073.14,ARIDOS ROMERO. SL,4.66,0.81,5.47
Villafranca de los Barros,13356,12618,738,5.85,102.42,130.4,6,11,Badajoz,Extremadura,Villafranca de los Barros,61351.077,6678.0,9.19,61351.08,AGLOMERADOS ARAYA.SL,3.22,5.99,9.21
Olivenza,11852,11196,656,5.86,430.14,27.55,6,11,Badajoz,Extremadura,Olivenza,14597.692,5926.0,2.46,14597.69,RECICLA SIGLO XXI. SL,0.86,2.49,3.35
Jerez de los Caballeros,10237,9723,514,5.29,740.55,13.82,6,11,Badajoz,Extremadura,Jerez de los Caballeros,113830.817,5118.5,22.24,113830.82,HORMIFREX. SAL,7.78,2.24,10.03
Azuaga,8301,8320,-19,-0.23,497.89,16.67,6,11,Badajoz,Extremadura,Azuaga,128708.567,4150.5,31.01,128708.57,MARTIN ANTONIO CHACON CRISOSTOMO,10.85,2.29,13.14
"Santos de Maimona, Los",8193,7911,282,3.56,108.62,75.43,6,11,Badajoz,Extremadura,"Santos de Maimona, Los",41121.366,4096.5,10.04,41121.37,"JUAN JOSÉ GARCÍA
LLORENS",3.51,1.12,4.63
Guare¤a,7312,7330,-18,-0.25,238.34,30.68,6,11,Badajoz,Extremadura,GuareÂ¤a,79730.905,3656.0,21.81,79730.9,"ANTOLIN GOMEZ
VELLERINO. SL",7.63,0.93,8.56
Fuente del Maestre,6962,6772,190,2.81,179.7,38.74,6,11,Badajoz,Extremadura,Fuente del Maestre,7074.527,3481.0,2.03,7074.53,"JUAN JOSÉ GARCÍA
LLORENS",0.71,1.12,1.83
Castuera,6594,6826,-232,-3.4,432.04,15.26,6,11,Badajoz,Extremadura,Castuera,5761.242,3297.0,1.75,5761.24,"TRANSPORTES Y
RECICLAJES KELE. SL",0.61,6.03,6.64
Calamonte,6178,6115,63,1.03,7.85,787.01,6,11,Badajoz,Extremadura,Calamonte,8222.755,3089.0,2.66,8222.75,"RECICLAJES LA GRULLA.
SLU",0.93,0.91,1.84
Llerena,5997,5659,338,5.97,157.08,38.18,6,11,Badajoz,Extremadura,Llerena,4148.055,2998.5,1.38,4148.06,MARTIN ANTONIO CHACON CRISOSTOMO,0.48,2.29,2.78
Puebla de la Calzada,5903,5580,323,5.79,14.25,414.25,6,11,Badajoz,Extremadura,Puebla de la Calzada,36089.347,2951.5,12.23,36089.35,ARIDOS ROMERO. SL,4.28,0.81,5.09
San Vicente de Alc ntara,5808,5831,-23,-0.39,275.31,21.1,6,11,Badajoz,Extremadura,San Vicente de AlcÂ ntara,30026.263,2904.0,10.34,30026.26,PT Valencia de Alcántara,3.62,3.44,7.06
Alburquerque,5704,5616,88,1.57,723.23,7.89,6,11,Badajoz,Extremadura,Alburquerque,84411.549,2852.0,29.6,84411.55,PT Valencia de Alcántara,10.36,3.44,13.8
Aceuchal,5679,5368,311,5.79,63.08,90.03,6,11,Badajoz,Extremadura,Aceuchal,42687.7,2839.5,15.03,42687.7,"JUAN JOSÉ GARCÍA
LLORENS",5.26,1.12,6.38
Oliva de la Frontera,5612,5751,-139,-2.42,149.34,37.58,6,11,Badajoz,Extremadura,Oliva de la Frontera,81057.577,2806.0,28.89,81057.58,HORMIFREX. SAL,10.11,2.24,12.36
Talavera la Real,5509,5210,299,5.74,61.5,89.58,6,11,Badajoz,Extremadura,Talavera la Real,6517.094,2754.5,2.37,6517.09,ARIDOS ROMERO. SL,0.83,0.81,1.64
Cabeza del Buey,5411,5691,-280,-4.92,475.02,11.39,6,11,Badajoz,Extremadura,Cabeza del Buey,3470.51,2705.5,1.28,3470.51,HIJOS DE LOREN. SL,0.45,11.09,11.54
Campanario,5367,5592,-225,-4.02,257.32,20.86,6,11,Badajoz,Extremadura,Campanario,33006.572,2683.5,12.3,33006.57,"CALIXTO FERNÁNDEZ
ORTIZ",4.3,4.46,8.76
Fregenal de la Sierra,5237,5234,3,0.06,236.65,22.13,6,11,Badajoz,Extremadura,Fregenal de la Sierra,6920.427,2618.5,2.64,6920.43,HORMIFREX. SAL,0.93,2.24,3.17
Quintana de la Serena,5069,5223,-154,-2.95,141.55,35.81,6,11,Badajoz,Extremadura,Quintana de la Serena,5108.696,2534.5,2.02,5108.7,"CALIXTO FERNÁNDEZ
ORTIZ",0.71,4.46,5.17
Fuente de Cantos,5039,4982,57,1.14,251.77,20.01,6,11,Badajoz,Extremadura,Fuente de Cantos,48335.326,2519.5,19.18,48335.33,ÁRIDOS SUR OESTE. SL,6.71,2.28,8.99
Navalvillar de Pela,4787,4767,20,0.42,251.17,19.06,6,11,Badajoz,Extremadura,Navalvillar de Pela,63163.151,2393.5,26.39,63163.15,PT Logrosán,9.24,3.85,13.09
Monesterio,4378,4389,-11,-0.25,322.35,13.58,6,11,Badajoz,Extremadura,Monesterio,57883.648,2189.0,26.44,57883.65,MARTIN ANTONIO CHACON CRISOSTOMO,9.26,2.29,11.55
