origin_id,destination_id,total_cost
1,Badajoz,85627.2865828
1,Mérida,60614.2525527
1,Don Benito,66238.9020747
1,Almendralejo,29447.8050142
1,Villanueva de la Serena,77786.0280698
1,Zafra,26008.3409878
1,Montijo,73649.2858956
1,Villafranca de los Barros,12074.2003562
1,Olivenza,89655.8773006
1,Jerez de los Caballeros,64072.4324858
1,Azuaga,71422.2300394
1,"Santos de Maimona. Los",22675.4633470
1,Guareña,41438.8423165
1,Fuente del Maestre,23820.9104584
1,Castuera,77371.0279044
1,Calamonte,53076.9170771
1,Llerena,52945.1515775
1,Puebla de la Calzada,74304.5560392
1,San Vicente de Alcántara,159437.1760295
1,Alburquerque,127980.0513889
1,Aceuchal,29486.8050371
1,Oliva de la Frontera,81189.4947528
1,Talavera la Real,67895.5121464
1,Cabeza del Buey,112510.9561435
1,Campanario,95230.7477603
1,Fregenal de la Sierra,65322.9621694
1,Quintana de la Serena,89730.2433977
1,Fuente de Cantos,46405.8058282
1,Navalvillar de Pela,109101.2712266
1,Monesterio,62611.2651201
1,Santa Amalia,69655.9375231
1,Santa Marta,50325.3650811
1,Arroyo de San Serván,51178.6004303
1,Valverde de Leganés,78663.0149278
1,Zalamea de la Serena,67429.1687082
1,Hornachos,17858.5640571
1,Barcarrota,67803.1590980
1,Herrera del Duque,165589.6438603
1,Villanueva del Fresno,105861.5606906
1,Talarrubias,128345.7067733
1,"Zarza. La",46045.7745078
1,Ribera del Fresno,2871.6341999
1,Burguillos del Cerro,44515.3471874
1,Orellana la Vieja,107600.0621723
1,Zah¡nos,83802.9341064
1,Puebla de Sancho P‚rez,29591.1456704
1,Solana de los Barros,40856.3323583
1,Valdelacalzada,81842.0015178
1,Lobón,68331.4466498
1,Monterrubio de la Serena,89128.8451627
1,Fuentes de León,75378.2334630
1,"Garrovilla. La",67822.6229562
1,Berlanga,54302.0016854
1,Higuera la Real,92767.4855230
1,Villar del Rey,112757.7759276
1,Granja de Torrehermosa,82138.4773800
1,Medell¡n,60990.7778169
1,Bienvenida,35336.7082631
1,"Codosera. La",139861.3073817
1,Valencia del Ventoso,46574.1879398
1,"Coronada. La",87482.0325165
1,Torremej¡a,39266.1607341
1,Siruela,146215.8442796
1,Higuera de Vargas,89418.8814771
1,Segura de León,69353.6190399
1,Salvaleón,61430.5036553
1,Pueblonuevo del Guadiana,85570.5000935
1,Alange,40626.5955796
1,Puebla de Obando,107658.2067092
1,"Albuera. La",65407.3886886
1,Usagre,27195.7513304
1,Fuenlabrada de los Montes,157340.4285130
1,Alconchel,89973.0241944
1,Oliva de Mérida,32404.4389955
1,Salvatierra de los Barros,48284.8318855
1,Villalba de los Barros,33418.7033095
1,Casas de Don Pedro,121078.5048641
1,Esparragalejo,63367.2004013
1,Montemolín,59115.5332488
1,"Roca de la Sierra. La",97515.1241557
1,Campillo de Llerena,68744.2815497
1,Cabeza la Vaca,80179.4061937
1,Villar de Rena,81996.6912413
1,Trujillanos,64499.5441448
1,Valle de la Serena,53975.9090558
1,"Parra. La",40971.3956987
1,Mirandilla,67929.7494029
1,"Haba. La",72301.2876543
1,Villagonzalo,42788.8747814
1,Feria,36235.7482873
1,Medina de las Torres,36152.6693580
1,Valdetorres,51105.5328487
1,Almendral,62065.2973103
1,Corte de Peleas,53210.6804790
1,Cheles,109991.5280750
1,Puebla de Alcocer,122583.8816967
1,Torre de Miguel Sesmero,60375.2561720
1,Valdecaballeros,190992.2347460
1,Peñalsordo,128583.8588468
1,Valle de Santa Ana,70951.4768948
1,Valverde de Mérida,51004.8616752
1,Castilblanco,181385.5498719
1,Bodonal de la Sierra,64253.8964812
1,"Nava de Santiago. La",85905.9410765
1,Esparragosa de la Serena,72254.3563756
1,Maguilla,52091.1215426
1,Calera de León,71603.9896349
