municipio,plant_id,distance_km,produccion,C_trans,C_trat,C_tot
Badajoz,18,10.4018,74167.0000,3.6406,2.7414,6.3820
Mérida,14,38.4093,28197.5000,13.4433,3.4837,16.9269
Don Benito,3,8.1106,17895.5000,2.8387,3.8909,6.7296
Almendralejo,9,21.5139,16794.0000,7.5299,3.1868,10.7167
Villanueva de la Serena,3,17.1378,12919.0000,5.9982,3.8909,9.8891
Zafra,9,13.7918,8212.0000,4.8271,3.1868,8.0139
Montijo,14,27.7232,8118.0000,9.7031,3.4837,13.1868
Villafranca de los Barros,9,14.7853,6678.0000,5.1749,3.1868,8.3617
Olivenza,13,3.1659,5926.0000,1.1081,5.9249,7.0329
Jerez de los Caballeros,9,51.6766,5118.5000,18.0868,3.1868,21.2736
Azuaga,10,39.0197,4150.5000,13.6569,6.1370,19.7939
Santos de Maimona. Los,9,13.9345,4096.5000,4.8771,3.1868,8.0639
Guareña,3,37.3024,3656.0000,13.0558,3.8909,16.9468
Fuente del Maestre,9,2.6784,3481.0000,0.9375,3.1868,4.1243
Castuera,6,2.8805,3297.0000,1.0082,7.8224,8.8305
Calamonte,14,2.7778,3089.0000,0.9722,3.4837,4.4559
Llerena,10,2.7152,2998.5000,0.9503,6.1370,7.0873
Puebla de la Calzada,14,28.3784,2951.5000,9.9324,3.4837,13.4161
San Vicente de Alcántara,39,14.8485,2904.0000,5.1970,8.6082,13.8051
Alburquerque,18,41.6405,2852.0000,14.5742,2.7414,17.3156
Aceuchal,9,19.9972,2839.5000,6.9990,3.1868,10.1859
Oliva de la Frontera,13,59.6067,2806.0000,20.8623,5.9249,26.7872
Talavera la Real,18,22.2359,2754.5000,7.7826,2.7414,10.5240
Cabeza del Buey,7,1.5397,2705.5000,0.5389,11.4442,11.9830
Campanario,3,13.1912,2683.5000,4.6169,3.8909,8.5078
Fregenal de la Sierra,8,3.4265,2618.5000,1.1993,8.7255,9.9248
Quintana de la Serena,6,2.5680,2534.5000,0.8988,7.8224,8.7212
Fuente de Cantos,10,27.8074,2519.5000,9.7326,6.1370,15.8695
Navalvillar de Pela,45,33.5279,2393.5000,11.7348,8.6534,20.3881
Monesterio,10,34.1360,2189.0000,11.9476,6.1370,18.0846
Santa Amalia,3,21.1656,2163.0000,7.4079,3.8909,11.2989
Santa Marta,9,32.7471,2161.0000,11.4615,3.1868,14.6483
Arroyo de San Serván,14,10.3530,2138.0000,3.6235,3.4837,7.1072
Valverde de Leganés,13,10.7148,2077.5000,3.7502,5.9249,9.6750
Zalamea de la Serena,6,16.4782,1989.0000,5.7674,7.8224,13.5897
Hornachos,9,40.5728,1933.5000,14.2005,3.1868,17.3873
Barcarrota,13,31.7811,1849.0000,11.1234,5.9249,17.0482
Herrera del Duque,11,41.8672,1844.0000,14.6535,8.2025,22.8560
Villanueva del Fresno,13,42.2612,1839.0000,14.7914,5.9249,20.7163
Talarrubias,11,16.7720,1815.0000,5.8702,8.2025,14.0727
Zarza. La,14,30.3860,1781.5000,10.6351,3.4837,14.1188
Ribera del Fresno,9,23.5543,1733.0000,8.2440,3.1868,11.4308
Burguillos del Cerro,9,32.1195,1643.0000,11.2418,3.1868,14.4287
Orellana la Vieja,3,25.7330,1507.5000,9.0065,3.8909,12.8975
Zah¡nos,13,48.8231,1453.0000,17.0881,5.9249,23.0129
Puebla de Sancho P‚rez,9,17.6909,1449.5000,6.1918,3.1868,9.3786
Solana de los Barros,14,27.6408,1413.0000,9.6743,3.4837,13.1579
Valdelacalzada,18,25.4826,1402.0000,8.9189,2.7414,11.6603
Lobón,14,22.4072,1361.5000,7.8425,3.4837,11.3262
Monterrubio de la Serena,6,20.4832,1355.0000,7.1691,7.8224,14.9915
Fuentes de León,8,17.3857,1285.5000,6.0850,8.7255,14.8105
Garrovilla. La,14,17.9550,1253.0000,6.2842,3.4837,9.7679
Berlanga,10,28.2928,1242.0000,9.9025,6.1370,16.0394
Higuera la Real,9,80.3716,1237.0000,28.1301,3.1868,31.3169
