n_plants,cost_per_tonne,max_cost,min_cost,total_cost,total_tkm,n_municipalities,eliminated
23,9.4881,37.4638,3.8190,5231104.0057,10439094.3424,383,
23,9.4881,37.4638,3.8190,5231104.0057,10439094.3424,383,Ribera del Fresno (T=0)
23,9.4803,37.4638,3.8190,5226774.9139,10405284.2865,383,Talavera la Real (T=0)
23,9.4803,37.4638,3.8190,5226774.9139,10405284.2865,383,Monterrubio de la Serena (T=0)
23,9.4803,37.4638,3.8190,5226774.9139,10405284.2865,383,Nuñomoral (T=0)
23,9.4803,37.4638,3.8190,5226774.9139,10405284.2865,383,Ceclavín (T=0)
23,9.4803,37.4638,3.8190,5226774.9139,10405284.2865,383,Cañaveral (T=0)
23,9.4803,37.4638,3.8190,5226774.9139,10405284.2865,383,Serradilla (T=0)
23,9.4803,37.4638,3.8190,5226774.9139,10405284.2865,383,Castañar de Ibor (T=0)
23,9.4803,37.4638,3.8190,5226774.9139,10405284.2865,383,Brozas (T=0)
