mun_key,name,prod,plant_id,dist_km,cost
badajoz,Badajoz,81583.7000,18,10.4018,6.1512
mrida,Mérida,31017.2500,14,38.4093,16.8362
don benito,Don Benito,19685.0500,3,8.1106,6.3741
almendralejo,Almendralejo,18473.4000,9,21.5139,10.9069
villanueva de la serena,Villanueva de la Serena,14210.9000,3,17.1378,9.5337
zafra,Zafra,9033.2000,9,13.7918,8.2042
montijo,Montijo,8929.8000,14,27.7232,13.0961
villafranca de los barros,Villafranca de los Barros,7345.8000,9,14.7853,8.5519
olivenza,Olivenza,6518.6000,13,3.1659,7.5731
jerez de los caballeros,Jerez de los Caballeros,5630.3500,5,32.1145,18.4251
azuaga,Azuaga,4565.5500,10,39.0197,19.7480
santos de maimona,Santos de Maimona. Los,4506.1500,9,13.9345,8.2541
guarea,Guareña,4021.6000,3,37.3024,16.5913
fuente del maestre,Fuente del Maestre,3829.1000,9,2.6784,4.3145
castuera,Castuera,3626.7000,6,2.8805,8.7299
calamonte,Calamonte,3397.9000,14,2.7778,4.3652
llerena,Llerena,3298.3500,10,2.7152,7.0414
puebla de la calzada,Puebla de la Calzada,3246.6500,18,29.8974,12.9746
san vicente de alcntara,San Vicente de Alcántara,3194.4000,39,14.8485,13.5779
alburquerque,Alburquerque,3137.2000,18,41.6405,17.0847
aceuchal,Aceuchal,3123.4500,9,19.9972,10.3761
oliva de la frontera,Oliva de la Frontera,3086.6000,5,49.2316,24.4160
talavera la real,Talavera la Real,3029.9500,18,22.2359,10.2931
cabeza del buey,Cabeza del Buey,2976.0500,7,1.5397,10.9745
campanario,Campanario,2951.8500,3,13.1912,8.1523
fregenal de la sierra,Fregenal de la Sierra,2880.3500,8,3.4265,10.0030
quintana de la serena,Quintana de la Serena,2787.9500,6,2.5680,8.6206
fuente de cantos,Fuente de Cantos,2771.4500,10,27.8074,15.8237
navalvillar de pela,Navalvillar de Pela,2632.8500,3,39.6785,17.4229
monesterio,Monesterio,2407.9000,10,34.1360,18.0387
santa amalia,Santa Amalia,2379.3000,3,21.1656,10.9434
santa marta,Santa Marta,2377.1000,9,32.7471,14.8385
arroyo de san servn,Arroyo de San Serván,2351.8000,14,10.3530,7.0165
valverde de legans,Valverde de Leganés,2285.2500,13,10.7148,10.2153
zalamea de la serena,Zalamea de la Serena,2187.9000,6,16.4782,13.4891
hornachos,Hornachos,2126.8500,1,16.6456,14.4481
barcarrota,Barcarrota,2033.9000,13,31.7811,17.5885
herrera del duque,Herrera del Duque,2028.4000,11,41.8672,22.6116
villanueva del fresno,Villanueva del Fresno,2022.9000,13,42.2612,21.2565
talarrubias,Talarrubias,1996.5000,11,16.7720,13.8282
zarza,Zarza. La,1959.6500,14,30.3860,14.0281
ribera del fresno,Ribera del Fresno,1906.3000,1,0.5992,8.8318
burguillos del cerro,Burguillos del Cerro,1807.3000,5,12.5574,11.5801
orellana la vieja,Orellana la Vieja,1658.2500,3,25.7330,12.5420
zahnos,Zah¡nos,1598.3000,13,48.8231,23.5532
puebla de sancho prez,Puebla de Sancho P‚rez,1594.4500,9,17.6909,9.5689
solana de los barros,Solana de los Barros,1554.3000,14,27.6408,13.0672
valdelacalzada,Valdelacalzada,1542.2000,18,25.4826,11.4294
lobn,Lobón,1497.6500,14,22.4072,11.2355
monterrubio de la serena,Monterrubio de la Serena,1490.5000,6,20.4832,14.8909
fuentes de len,Fuentes de León,1414.0500,8,17.3857,14.8887
garrovilla,Garrovilla. La,1378.3000,14,17.9550,9.6772
berlanga,Berlanga,1366.2000,10,28.2928,15.9935
higuera la real,Higuera la Real,1360.7000,5,60.8096,28.4683
villar del rey,Villar del Rey,1312.3000,18,27.7184,12.2120
granja de torrehermosa,Granja de Torrehermosa,1307.3500,10,56.1860,25.7562
medelln,Medell¡n,1285.3500,3,17.0511,9.5033
bienvenida,Bienvenida,1279.3000,9,43.1872,18.4926
codosera,Codosera. La,1277.1000,39,35.3945,20.7691
valencia del ventoso,Valencia del Ventoso,1236.9500,5,17.5058,13.3120
coronada,Coronada. La,1231.4500,3,5.4386,5.4389
torremeja,Torremej¡a,1225.4000,14,16.0682,9.0168
siruela,Siruela,1205.6000,11,3.6874,9.2487
higuera de vargas,Higuera de Vargas,1184.7000,13,34.6033,18.5762
segura de len,Segura de León,1177.0000,8,11.3611,12.7801
salvalen,Salvaleón,1126.9500,9,39.9102,17.3456
pueblonuevo del guadiana,Pueblonuevo del Guadiana,1109.9000,18,17.6427,8.6855
alange,Alange,1102.7500,14,24.9668,12.1314
puebla de obando,Puebla de Obando,1093.4000,18,43.6671,17.7940
albuera,Albuera. La,1092.3000,18,32.9084,14.0285
usagre,Usagre,1075.8000,9,38.5057,16.8540
fuenlabrada de los montes,Fuenlabrada de los Montes,1075.2500,11,33.6180,19.7244
alconchel,Alconchel,1073.0500,13,22.2740,14.2610
oliva de mrida,Oliva de Mérida,1031.2500,3,38.7077,17.0831
salvatierra de los barros,Salvatierra de los Barros,983.4000,9,26.7646,12.7446
villalba de los barros,Villalba de los Barros,909.7000,9,14.8896,8.5884
casas de don pedro,Casas de Don Pedro,897.6000,11,33.4893,19.6793
esparragalejo,Esparragalejo,869.0000,14,13.4995,8.1178
montemoln,Montemolín,843.7000,10,28.4239,16.0395
roca de la sierra,Roca de la Sierra. La,839.3000,18,34.5852,14.6153
campillo de llerena,Campillo de Llerena,834.9000,10,42.7350,21.0483
cabeza la vaca,Cabeza la Vaca,813.4500,8,23.3038,16.9600
villar de rena,Villar de Rena,801.3500,3,19.6757,10.4219
trujillanos,Trujillanos,791.4500,14,16.6223,9.2108
valle de la serena,Valle de la Serena,783.7500,3,33.0594,15.1062
parra,Parra. La,764.5000,9,19.4511,10.1849
mirandilla,Mirandilla,757.3500,14,18.4701,9.8575
haba,Haba. La,751.8500,3,11.6530,7.6140
villagonzalo,Villagonzalo,741.4000,14,35.5700,15.8425
feria,Feria,737.5500,9,14.7155,8.5275
medina de las torres,Medina de las Torres,735.9000,5,12.4674,11.5486
valdetorres,Valdetorres,732.0500,3,28.4562,13.4951
almendral,Almendral,718.8500,13,25.5615,15.4116
corte de peleas,Corte de Peleas,718.8500,9,35.6324,15.8484
cheles,Cheles,707.8500,13,30.6502,17.1927
puebla de alcocer,Puebla de Alcocer,699.6000,11,21.4161,15.4537
torre de miguel sesmero,Torre de Miguel Sesmero,691.3500,13,28.3359,16.3827
valdecaballeros,Valdecaballeros,669.9000,11,67.2698,31.5025
pealsordo,Peñalsordo,665.5000,7,18.0750,16.7619
valle de santa ana,Valle de Santa Ana,655.6000,9,49.4312,20.6780
valverde de mrida,Valverde de Mérida,637.4500,14,27.9147,13.1631
castilblanco,Castilblanco,633.0500,11,57.6631,28.1402
bodonal de la sierra,Bodonal de la Sierra,626.4500,8,7.2598,11.3446
nava de santiago,Nava de Santiago. La,598.9500,14,36.0383,16.0064
esparragosa de la serena,Esparragosa de la Serena,598.4000,6,12.6402,12.1458
maguilla,Maguilla,596.2000,10,26.0819,15.2197
calera de len,Calera de León,583.0000,8,32.7999,20.2837
ahillones,Ahillones,578.6000,10,20.3417,13.2107
higuera de la serena,Higuera de la Serena,573.6500,6,21.6640,15.3042
esparragosa de lares,Esparragosa de Lares,561.5500,11,25.6645,16.9406
torremayor,Torremayor,552.2000,14,23.1203,11.4851
villagarca de la torre,Villagarcía de la Torre,542.3000,9,47.3492,19.9493
cordobilla de lcara,Cordobilla de Lácara,531.8500,41,30.9552,19.6748
benquerencia de la serena,Benquerencia de la Serena,521.4000,6,9.6783,11.1092
llera,Llera,520.8500,10,30.3547,16.7152
san pedro de mrida,San Pedro de Mérida,484.0000,14,23.2628,11.5349
calzadilla de los barros,Calzadilla de los Barros,474.6500,9,32.4265,14.7263
puebla de la reina,Puebla de la Reina,473.0000,1,24.0399,17.0360
acedera,Acedera,451.5500,3,33.9107,15.4042
tliga,Táliga,440.5500,13,23.1371,14.5631
valencia del mombuey,Valencia del Mombuey,430.1000,5,69.1912,31.4019
puebla del maestre,Puebla del Maestre,427.3500,10,24.4543,14.6501
manchita,Manchita,420.2000,3,45.8323,19.5768
morera,Morera. La,413.6000,9,23.2961,11.5307
fuente del arco,Fuente del Arco,412.5000,10,16.8628,11.9931
don lvaro,Don Álvaro,408.6500,14,36.7864,16.2682
alconera,Alconera,405.3500,5,7.4421,9.7897
nogales,Nogales,398.2000,9,32.9618,14.9137
helechosa de los montes,Helechosa de los Montes,393.8000,11,86.4949,38.2313
valverde de llerena,Valverde de Llerena,392.7000,10,28.3102,15.9997
palomas,Palomas,385.5500,1,20.2937,15.7249
trasierra,Trasierra,380.0500,10,6.9134,8.5108
valencia de las torres,Valencia de las Torres,377.8500,10,23.7059,14.3882
garlitos,Garlitos,374.5500,11,20.6672,15.1916
rena,Rena,367.9500,3,16.8589,9.4360
malpartida de la serena,Malpartida de la Serena,364.1000,6,11.8854,11.8816
peraleda del zaucejo,Peraleda del Zaucejo,334.4000,6,41.3400,22.1908
magacela,Magacela,333.8500,3,12.5032,7.9115
entrn bajo,Entrín Bajo,331.1000,9,39.2350,17.1093
villarta de los montes,Villarta de los Montes,322.8500,11,117.1307,48.9538
carmonita,Carmonita,319.5500,41,20.9655,16.1784
