mun_key,name,prod,plant_id,dist_km,cost
badajoz,Badajoz,74167.0000,18,10.4018,5.2438
mrida,Mérida,28197.5000,14,38.4093,13.1688
don benito,Don Benito,17895.5000,3,8.1106,5.7519
almendralejo,Almendralejo,16794.0000,9,21.5139,8.5278
villanueva de la serena,Villanueva de la Serena,12919.0000,3,17.1378,8.0087
zafra,Zafra,8212.0000,9,13.7918,6.5973
montijo,Montijo,8118.0000,14,27.7232,10.4972
villafranca de los barros,Villafranca de los Barros,6678.0000,9,14.7853,6.8457
olivenza,Olivenza,5926.0000,13,3.1659,8.1600
jerez de los caballeros,Jerez de los Caballeros,5118.5000,5,32.1145,15.9822
azuaga,Azuaga,4150.5000,10,39.0197,16.5675
santos de maimona,Santos de Maimona. Los,4096.5000,9,13.9345,6.6330
guarea,Guareña,3656.0000,3,37.3024,13.0498
fuente del maestre,Fuente del Maestre,3481.0000,9,2.6784,3.8190
castuera,Castuera,3297.0000,6,2.8805,8.7049
calamonte,Calamonte,3089.0000,14,2.7778,4.2609
llerena,Llerena,2998.5000,10,2.7152,7.4914
puebla de la calzada,Puebla de la Calzada,2951.5000,18,29.8974,10.1177
san vicente de alcntara,San Vicente de Alcántara,2904.0000,39,14.8485,12.4799
alburquerque,Alburquerque,2852.0000,18,41.6405,13.0535
aceuchal,Aceuchal,2839.5000,9,19.9972,8.1487
oliva de la frontera,Oliva de la Frontera,2806.0000,5,49.2316,20.2614
talavera la real,Talavera la Real,2754.5000,18,22.2359,8.2023
cabeza del buey,Cabeza del Buey,2705.5000,7,1.5397,12.1244
campanario,Campanario,2683.5000,3,13.1912,7.0220
fregenal de la sierra,Fregenal de la Sierra,2618.5000,8,3.4265,9.6984
quintana de la serena,Quintana de la Serena,2534.5000,6,2.5680,8.6268
fuente de cantos,Fuente de Cantos,2519.5000,9,39.6038,13.0503
navalvillar de pela,Navalvillar de Pela,2393.5000,3,39.6785,13.6438
monesterio,Monesterio,2189.0000,10,34.1360,15.3466
santa amalia,Santa Amalia,2163.0000,3,21.1656,9.0156
santa marta,Santa Marta,2161.0000,9,32.7471,11.3361
arroyo de san servn,Arroyo de San Serván,2138.0000,14,10.3530,6.1547
valverde de legans,Valverde de Leganés,2077.5000,13,10.7148,10.0472
zalamea de la serena,Zalamea de la Serena,1989.0000,6,16.4782,12.1043
hornachos,Hornachos,1933.5000,9,40.5728,13.2926
barcarrota,Barcarrota,1849.0000,9,46.2829,14.7201
herrera del duque,Herrera del Duque,1844.0000,11,41.8672,18.6479
villanueva del fresno,Villanueva del Fresno,1839.0000,13,42.2612,17.9338
talarrubias,Talarrubias,1815.0000,11,16.7720,12.3741
zarza,Zarza. La,1781.5000,14,30.3860,11.1630
ribera del fresno,Ribera del Fresno,1733.0000,9,23.5543,9.0380
burguillos del cerro,Burguillos del Cerro,1643.0000,5,12.5574,11.0929
orellana la vieja,Orellana la Vieja,1507.5000,3,25.7330,10.1575
zahnos,Zah¡nos,1453.0000,13,48.8231,19.5743
puebla de sancho prez,Puebla de Sancho P‚rez,1449.5000,9,17.6909,7.5721
solana de los barros,Solana de los Barros,1413.0000,14,27.6408,10.4767
valdelacalzada,Valdelacalzada,1402.0000,18,25.4826,9.0140
lobn,Lobón,1361.5000,14,22.4072,9.1682
monterrubio de la serena,Monterrubio de la Serena,1355.0000,6,20.4832,13.1056
fuentes de len,Fuentes de León,1285.5000,8,17.3857,13.1882
garrovilla,Garrovilla. La,1253.0000,14,17.9550,8.0552
berlanga,Berlanga,1242.0000,10,28.2928,13.8858
higuera la real,Higuera la Real,1237.0000,5,60.8096,23.1559
villar del rey,Villar del Rey,1193.0000,18,27.7184,9.5729
granja de torrehermosa,Granja de Torrehermosa,1188.5000,10,56.1860,20.8591
medelln,Medell¡n,1168.5000,3,17.0511,7.9870
bienvenida,Bienvenida,1163.0000,9,43.1872,13.9462
codosera,Codosera. La,1161.0000,18,53.5218,16.0238
valencia del ventoso,Valencia del Ventoso,1124.5000,9,34.6739,11.8178
coronada,Coronada. La,1119.5000,3,5.4386,5.0839
torremeja,Torremej¡a,1114.0000,14,16.0682,7.5835
siruela,Siruela,1096.0000,11,3.6874,9.1030
higuera de vargas,Higuera de Vargas,1077.0000,13,34.6033,16.0193
segura de len,Segura de León,1070.0000,8,11.3611,11.6820
salvalen,Salvaleón,1024.5000,9,39.9102,13.1269
pueblonuevo del guadiana,Pueblonuevo del Guadiana,1009.0000,18,17.6427,7.0540
alange,Alange,1002.5000,14,24.9668,9.8082
puebla de obando,Puebla de Obando,994.0000,18,43.6671,13.5601
albuera,Albuera. La,993.0000,18,32.9084,10.8704
usagre,Usagre,978.0000,9,38.5057,12.7758
fuenlabrada de los montes,Fuenlabrada de los Montes,977.5000,11,33.6180,16.5856
alconchel,Alconchel,975.5000,13,22.2740,12.9370
oliva de mrida,Oliva de Mérida,937.5000,3,38.7077,13.4011
salvatierra de los barros,Salvatierra de los Barros,894.0000,9,26.7646,9.8405
villalba de los barros,Villalba de los Barros,827.0000,9,14.8896,6.8718
casas de don pedro,Casas de Don Pedro,816.0000,11,33.4893,16.5535
esparragalejo,Esparragalejo,790.0000,14,13.4995,6.9413
montemoln,Montemolín,767.0000,10,28.4239,13.9186
roca de la sierra,Roca de la Sierra. La,763.0000,18,34.5852,11.2896
campillo de llerena,Campillo de Llerena,759.0000,10,42.7350,17.4963
cabeza la vaca,Cabeza la Vaca,739.5000,8,23.3038,14.6677
villar de rena,Villar de Rena,728.5000,3,19.6757,8.6432
trujillanos,Trujillanos,719.5000,14,16.6223,7.7220
valle de la serena,Valle de la Serena,712.5000,3,33.0594,11.9891
parra,Parra. La,695.0000,9,19.4511,8.0121
mirandilla,Mirandilla,688.5000,14,18.4701,8.1840
haba,Haba. La,683.5000,3,11.6530,6.6375
villagonzalo,Villagonzalo,674.0000,14,35.5700,12.4589
feria,Feria,670.5000,9,14.7155,6.8282
medina de las torres,Medina de las Torres,669.0000,9,24.2524,9.2125
valdetorres,Valdetorres,665.5000,3,28.4562,10.8383
almendral,Almendral,653.5000,9,40.5450,13.2856
corte de peleas,Corte de Peleas,653.5000,9,35.6324,12.0575
cheles,Cheles,643.5000,13,30.6502,15.0311
puebla de alcocer,Puebla de Alcocer,636.0000,11,21.4161,13.5351
