n_plants,total_cost_eur,mean_cost,median_cost,max_cost,cost_per_tonne,gini,n_municipalities
32,5938564.7479,15.4340,14.4385,49.4365,11.9681,0.2079,383
31,5881801.4664,15.3904,14.3502,49.4365,11.8537,0.2088,383
30,5857637.8852,15.1830,14.2666,49.4365,11.8050,0.2023,383
29,5834689.3100,15.0655,14.2126,49.4365,11.7588,0.1985,383
28,5815445.0705,15.0957,14.2666,49.4365,11.7200,0.1989,383
27,5796717.5984,14.9074,14.2666,49.4365,11.6823,0.1917,383
26,5779153.0123,14.8245,14.2502,49.4365,11.6469,0.1895,383
25,5763063.5535,14.7801,14.2502,49.4365,11.6144,0.1886,383
24,5760090.9218,14.7998,14.3080,49.4365,11.6085,0.1896,383
23,5763379.4313,14.8809,14.3110,49.4365,11.6151,0.1926,383
22,5773364.5651,14.8679,14.3080,48.7016,11.6352,0.1926,383
21,5785588.0230,14.9601,14.3080,48.7016,11.6598,0.1973,383
20,5796206.8273,15.0185,14.7240,48.7016,11.6812,0.1966,383
19,5816325.6780,15.1498,14.7617,48.7016,11.7218,0.1973,383
18,5834726.1607,15.2590,14.8054,48.7016,11.7589,0.2033,383
17,5864365.2833,15.3014,14.8624,48.7016,11.8186,0.2058,383
16,5906735.1103,15.4168,14.9376,48.7016,11.9040,0.2069,383
15,5950340.2568,15.4985,14.9728,48.7016,11.9919,0.2089,383
14,5998038.6082,15.9105,15.1188,48.7016,12.0880,0.2239,383
13,6074901.9465,16.0469,15.1461,48.7016,12.2429,0.2262,383
12,6152472.8902,16.4513,15.7816,48.7016,12.3992,0.2302,383
11,6240738.0179,16.9134,16.0056,48.7016,12.5771,0.2393,383
10,6341498.9362,17.2535,16.6565,48.7016,12.7802,0.2380,383
9,6456240.2456,17.6296,16.6884,49.4798,13.0114,0.2479,383
8,6580830.7649,18.3252,17.0039,63.4819,13.2625,0.2597,383
7,6730281.1847,18.5618,17.2863,62.9852,13.5637,0.2522,383
6,6885251.2416,19.1158,18.0031,62.9662,13.8760,0.2529,383
5,7166945.9646,19.4107,18.5954,62.9662,14.4437,0.2562,383
4,8531184.7393,21.9285,21.2436,62.7061,17.1931,0.2678,383
3,10077133.7902,23.4453,22.9774,62.3493,20.3087,0.2659,383
