n_plants,total_cost_eur,mean_cost,median_cost,max_cost,cost_per_tonne,gini,n_municipalities
32,5486049.1075,12.9267,12.3261,37.4852,9.9506,0.1960,383
31,5417413.8152,12.8731,12.2396,37.4852,9.8261,0.1978,383
30,5380547.9851,12.8603,12.2396,37.4852,9.7592,0.1988,383
29,5354094.5313,12.6585,12.1363,37.4852,9.7112,0.1912,383
28,5328617.3694,12.5437,12.0999,37.4852,9.6650,0.1867,383
27,5305119.5876,12.5231,12.0949,37.4852,9.6224,0.1884,383
26,5283436.9539,12.3354,12.0949,37.4852,9.5831,0.1796,383
25,5263166.6815,12.2516,12.0433,37.4852,9.5463,0.1766,383
24,5244546.3646,12.2050,11.9790,37.4852,9.5125,0.1752,383
23,5240613.9977,12.2469,12.0433,37.4852,9.5054,0.1779,383
22,5240239.5699,12.2699,12.1647,37.4852,9.5047,0.1783,383
21,5243381.9028,12.2430,12.0949,36.6794,9.5104,0.1780,383
20,5247962.6671,12.2751,11.9631,36.6794,9.5187,0.1819,383
19,5253270.6153,12.3187,11.9631,36.6794,9.5283,0.1832,383
18,5253601.8479,12.3563,11.9509,36.6794,9.5289,0.1883,383
17,5260701.9433,12.3159,11.9209,36.6794,9.5418,0.1899,383
16,5273308.7476,12.3592,11.9631,36.6794,9.5647,0.1915,383
15,5291683.5882,12.3784,11.9509,36.6794,9.5980,0.1936,383
14,5312267.8488,12.5881,11.9733,36.6794,9.6354,0.2076,383
13,5345267.6764,12.6448,12.0631,36.6794,9.6952,0.2095,383
12,5379647.6777,12.8593,12.3429,36.6794,9.7576,0.2136,383
11,5423771.6598,13.0798,12.5458,36.6794,9.8376,0.2244,383
10,5479113.4079,13.2532,12.7503,36.6794,9.9380,0.2240,383
9,5550119.3165,13.4651,12.7840,36.6794,10.0668,0.2325,383
8,5625411.0789,13.8823,12.9746,45.9566,10.2033,0.2443,383
7,5708034.3664,14.0042,13.0983,45.4919,10.3532,0.2380,383
6,5801513.7098,14.3272,13.6148,45.4742,10.5227,0.2401,383
5,5992199.4341,14.4312,13.8805,45.4742,10.8686,0.2460,383
4,7033367.4591,16.1779,15.6873,45.2317,12.7571,0.2582,383
3,8219239.8492,17.1846,16.9052,44.9000,14.9080,0.2583,383
